source_text,target_text,source_lang,target_lang,origin,model_id,prompt_version,created_at,term,context,doc_type,raw_output
"Per garantire la protezione massima del vetro durante l'installazione, è necessario utilizzare il film protettivo incluso nella confezione.","To ensure maximum glass protection during installation, use the protective film included in the package.",ita_Latn,eng_Latn,glossary,ollama/mistral-nemo,json_v1,2026-05-02T08:31:51.945260+00:00,film protettivo,product,an installation manual,"{
  ""source_text"": ""Per garantire la protezione massima del vetro durante l'installazione, è necessario utilizzare il film protettivo incluso nella confezione."",
  ""target_text_en"": ""To ensure maximum glass protection during installation, use the protective film included in the package."",
  ""target_text_fr"": ""Pour garantir une protection maximale de la vitre pendant l'installation, utilisez le film protecteur inclus dans le paquet."",
  ""target_text_es"": ""Para garantizar la máxima protección del vidrio durante la instalación, utilice el filme protector incluido en el paquete.""
}"
"Per garantire la protezione massima del vetro durante l'installazione, è necessario utilizzare il film protettivo incluso nella confezione.","Pour garantir une protection maximale de la vitre pendant l'installation, utilisez le film protecteur inclus dans le paquet.",ita_Latn,fra_Latn,glossary,ollama/mistral-nemo,json_v1,2026-05-02T08:31:51.945260+00:00,film protettivo,product,an installation manual,"{
  ""source_text"": ""Per garantire la protezione massima del vetro durante l'installazione, è necessario utilizzare il film protettivo incluso nella confezione."",
  ""target_text_en"": ""To ensure maximum glass protection during installation, use the protective film included in the package."",
  ""target_text_fr"": ""Pour garantir une protection maximale de la vitre pendant l'installation, utilisez le film protecteur inclus dans le paquet."",
  ""target_text_es"": ""Para garantizar la máxima protección del vidrio durante la instalación, utilice el filme protector incluido en el paquete.""
}"
"Per garantire la protezione massima del vetro durante l'installazione, è necessario utilizzare il film protettivo incluso nella confezione.","Para garantizar la máxima protección del vidrio durante la instalación, utilice el filme protector incluido en el paquete.",ita_Latn,spa_Latn,glossary,ollama/mistral-nemo,json_v1,2026-05-02T08:31:51.945260+00:00,film protettivo,product,an installation manual,"{
  ""source_text"": ""Per garantire la protezione massima del vetro durante l'installazione, è necessario utilizzare il film protettivo incluso nella confezione."",
  ""target_text_en"": ""To ensure maximum glass protection during installation, use the protective film included in the package."",
  ""target_text_fr"": ""Pour garantir une protection maximale de la vitre pendant l'installation, utilisez le film protecteur inclus dans le paquet."",
  ""target_text_es"": ""Para garantizar la máxima protección del vidrio durante la instalación, utilice el filme protector incluido en el paquete.""
}"
Assicurarsi che il prodotto sia installato in conformità con le norme locali per garantire la resistenza al fuoco richiesta di almeno 60 minuti.,Ensure the product is installed in accordance with local regulations to guarantee a minimum of 60 minutes fire resistance.,ita_Latn,eng_Latn,glossary,ollama/mistral-nemo,json_v1,2026-05-02T08:31:51.945260+00:00,resistenza al fuoco,performance,an installation manual,"{
  ""source_text"": ""Assicurarsi che il prodotto sia installato in conformità con le norme locali per garantire la resistenza al fuoco richiesta di almeno 60 minuti."",
  ""target_text_en"": ""Ensure the product is installed in accordance with local regulations to guarantee a minimum of 60 minutes fire resistance."",
  ""target_text_fr"": ""Assurer l'installation du produit conformément aux réglementations locales afin de garantir une résistance au feu d'au moins 60 minutes."",
  ""target_text_es"": ""Asegurarse de instalar el producto de acuerdo con las regulaciones locales para garantizar una resistencia al fuego de al menos 60 minutos.""
}"
Assicurarsi che il prodotto sia installato in conformità con le norme locali per garantire la resistenza al fuoco richiesta di almeno 60 minuti.,Assurer l'installation du produit conformément aux réglementations locales afin de garantir une résistance au feu d'au moins 60 minutes.,ita_Latn,fra_Latn,glossary,ollama/mistral-nemo,json_v1,2026-05-02T08:31:51.945260+00:00,resistenza al fuoco,performance,an installation manual,"{
  ""source_text"": ""Assicurarsi che il prodotto sia installato in conformità con le norme locali per garantire la resistenza al fuoco richiesta di almeno 60 minuti."",
  ""target_text_en"": ""Ensure the product is installed in accordance with local regulations to guarantee a minimum of 60 minutes fire resistance."",
  ""target_text_fr"": ""Assurer l'installation du produit conformément aux réglementations locales afin de garantir une résistance au feu d'au moins 60 minutes."",
  ""target_text_es"": ""Asegurarse de instalar el producto de acuerdo con las regulaciones locales para garantizar una resistencia al fuego de al menos 60 minutos.""
}"
Assicurarsi che il prodotto sia installato in conformità con le norme locali per garantire la resistenza al fuoco richiesta di almeno 60 minuti.,Asegurarse de instalar el producto de acuerdo con las regulaciones locales para garantizar una resistencia al fuego de al menos 60 minutos.,ita_Latn,spa_Latn,glossary,ollama/mistral-nemo,json_v1,2026-05-02T08:31:51.945260+00:00,resistenza al fuoco,performance,an installation manual,"{
  ""source_text"": ""Assicurarsi che il prodotto sia installato in conformità con le norme locali per garantire la resistenza al fuoco richiesta di almeno 60 minuti."",
  ""target_text_en"": ""Ensure the product is installed in accordance with local regulations to guarantee a minimum of 60 minutes fire resistance."",
  ""target_text_fr"": ""Assurer l'installation du produit conformément aux réglementations locales afin de garantir une résistance au feu d'au moins 60 minutes."",
  ""target_text_es"": ""Asegurarse de instalar el producto de acuerdo con las regulaciones locales para garantizar una resistencia al fuego de al menos 60 minutos.""
}"
"Per garantire un'adeguata impermeabilità, è necessario installare il profilo di tenuta nella parte inferiore della finestra.","To ensure adequate waterproofing, it is necessary to install the weatherstrip profile at the bottom of the window.",ita_Latn,eng_Latn,glossary,ollama/mistral-nemo,json_v1,2026-05-02T08:31:51.945260+00:00,profilo di tenuta,sealing,an installation manual,"```json
{
  ""source_text"": ""Per garantire un'adeguata impermeabilità, è necessario installare il profilo di tenuta nella parte inferiore della finestra."",
  ""target_text_en"": ""To ensure adequate waterproofing, it is necessary to install the weatherstrip profile at the bottom of the window."",
  ""target_text_fr"": ""Pour garantir une étanchéité adéquate, il est nécessaire d'installer le profilé d'étanchéité dans la partie inférieure de la fenêtre."",
  ""target_text_es"": ""Para garantizar una estanqueidad adecuada, es necesario instalar el perfil de junta en la parte inferior de la ventana.""
}
```"
"Per garantire un'adeguata impermeabilità, è necessario installare il profilo di tenuta nella parte inferiore della finestra.","Pour garantir une étanchéité adéquate, il est nécessaire d'installer le profilé d'étanchéité dans la partie inférieure de la fenêtre.",ita_Latn,fra_Latn,glossary,ollama/mistral-nemo,json_v1,2026-05-02T08:31:51.945260+00:00,profilo di tenuta,sealing,an installation manual,"```json
{
  ""source_text"": ""Per garantire un'adeguata impermeabilità, è necessario installare il profilo di tenuta nella parte inferiore della finestra."",
  ""target_text_en"": ""To ensure adequate waterproofing, it is necessary to install the weatherstrip profile at the bottom of the window."",
  ""target_text_fr"": ""Pour garantir une étanchéité adéquate, il est nécessaire d'installer le profilé d'étanchéité dans la partie inférieure de la fenêtre."",
  ""target_text_es"": ""Para garantizar una estanqueidad adecuada, es necesario instalar el perfil de junta en la parte inferior de la ventana.""
}
```"
"Per garantire un'adeguata impermeabilità, è necessario installare il profilo di tenuta nella parte inferiore della finestra.","Para garantizar una estanqueidad adecuada, es necesario instalar el perfil de junta en la parte inferior de la ventana.",ita_Latn,spa_Latn,glossary,ollama/mistral-nemo,json_v1,2026-05-02T08:31:51.945260+00:00,profilo di tenuta,sealing,an installation manual,"```json
{
  ""source_text"": ""Per garantire un'adeguata impermeabilità, è necessario installare il profilo di tenuta nella parte inferiore della finestra."",
  ""target_text_en"": ""To ensure adequate waterproofing, it is necessary to install the weatherstrip profile at the bottom of the window."",
  ""target_text_fr"": ""Pour garantir une étanchéité adéquate, il est nécessaire d'installer le profilé d'étanchéité dans la partie inférieure de la fenêtre."",
  ""target_text_es"": ""Para garantizar una estanqueidad adecuada, es necesario instalar el perfil de junta en la parte inferior de la ventana.""
}
```"
Applicare il nastro adesivo di sigillatura lungo il bordo inferiore del telaio prima dell'installazione della finestra per garantire un'adeguata tenuta contro l'acqua.,Apply the sealing adhesive tape along the bottom edge of the frame before installing the window to ensure adequate waterproofing.,ita_Latn,eng_Latn,glossary,ollama/mistral-nemo,json_v1,2026-05-02T08:31:51.945260+00:00,nastro adesivo di sigillatura,sealing,an installation manual,"{
  ""source_text"": ""Applicare il nastro adesivo di sigillatura lungo il bordo inferiore del telaio prima dell'installazione della finestra per garantire un'adeguata tenuta contro l'acqua."",
  ""target_text_en"": ""Apply the sealing adhesive tape along the bottom edge of the frame before installing the window to ensure adequate waterproofing."",
  ""target_text_fr"": ""Appliquer la bande adhésive d'étanchéité le long du bord inférieur du cadre avant l'installation de la fenêtre pour garantir une étanchéité adéquate à l'eau."",
  ""target_text_es"": ""Aplicar la cinta adhesiva de sellado a lo largo del borde inferior del marco antes de instalar la ventana para garantizar una estanqueidad adecuada contra el agua.""
}"
