source_text,target_text,source_lang,target_lang,origin,model_id,prompt_version,created_at,term,context,doc_type,raw_output
"Prima di procedere con l'installazione, verificare attentamente le dimensioni del profilo per assicurare la compatibilità con il vano murario e i componenti di fissaggio.","Before proceeding with the installation, carefully verify the profile dimensions to ensure compatibility with the wall opening and the fastening components.",ita_Latn,eng_Latn,glossary,google/gemini-2.5-flash,json_v1,2026-05-03T14:22:11.189544+00:00,dimensioni del profilo,window_frame,an installation manual,"```json
{
  ""source_text"": ""Prima di procedere con l'installazione, verificare attentamente le dimensioni del profilo per assicurare la compatibilità con il vano murario e i componenti di fissaggio."",
  ""target_text_en"": ""Before proceeding with the installation, carefully verify the profile dimensions to ensure compatibility with the wall opening and the fastening components."",
  ""target_text_fr"": ""Avant de procéder à l'installation, vérifier attentivement les dimensions du profilé afin d'assurer la compatibilité avec l'ouverture murale et les composants de fixation."",
  ""target_text_es"": ""Antes de proceder con la instalación, verifique cuidadosamente las dimensiones del perfil para asegurar la compatibilidad con el hueco de la pared y los componentes de fijación.""
}
```"
"Before proceeding with the installation, carefully verify the profile dimensions to ensure compatibility with the wall opening and the fastening components.","Prima di procedere con l'installazione, verificare attentamente le dimensioni del profilo per assicurare la compatibilità con il vano murario e i componenti di fissaggio.",eng_Latn,ita_Latn,glossary,google/gemini-2.5-flash,json_v1,2026-05-03T14:22:11.189544+00:00,dimensioni del profilo,window_frame,an installation manual,"```json
{
  ""source_text"": ""Prima di procedere con l'installazione, verificare attentamente le dimensioni del profilo per assicurare la compatibilità con il vano murario e i componenti di fissaggio."",
  ""target_text_en"": ""Before proceeding with the installation, carefully verify the profile dimensions to ensure compatibility with the wall opening and the fastening components."",
  ""target_text_fr"": ""Avant de procéder à l'installation, vérifier attentivement les dimensions du profilé afin d'assurer la compatibilité avec l'ouverture murale et les composants de fixation."",
  ""target_text_es"": ""Antes de proceder con la instalación, verifique cuidadosamente las dimensiones del perfil para asegurar la compatibilidad con el hueco de la pared y los componentes de fijación.""
}
```"
"Prima di procedere con l'installazione, verificare attentamente le dimensioni del profilo per assicurare la compatibilità con il vano murario e i componenti di fissaggio.","Avant de procéder à l'installation, vérifier attentivement les dimensions du profilé afin d'assurer la compatibilité avec l'ouverture murale et les composants de fixation.",ita_Latn,fra_Latn,glossary,google/gemini-2.5-flash,json_v1,2026-05-03T14:22:11.189544+00:00,dimensioni del profilo,window_frame,an installation manual,"```json
{
  ""source_text"": ""Prima di procedere con l'installazione, verificare attentamente le dimensioni del profilo per assicurare la compatibilità con il vano murario e i componenti di fissaggio."",
  ""target_text_en"": ""Before proceeding with the installation, carefully verify the profile dimensions to ensure compatibility with the wall opening and the fastening components."",
  ""target_text_fr"": ""Avant de procéder à l'installation, vérifier attentivement les dimensions du profilé afin d'assurer la compatibilité avec l'ouverture murale et les composants de fixation."",
  ""target_text_es"": ""Antes de proceder con la instalación, verifique cuidadosamente las dimensiones del perfil para asegurar la compatibilidad con el hueco de la pared y los componentes de fijación.""
}
```"
"Avant de procéder à l'installation, vérifier attentivement les dimensions du profilé afin d'assurer la compatibilité avec l'ouverture murale et les composants de fixation.","Prima di procedere con l'installazione, verificare attentamente le dimensioni del profilo per assicurare la compatibilità con il vano murario e i componenti di fissaggio.",fra_Latn,ita_Latn,glossary,google/gemini-2.5-flash,json_v1,2026-05-03T14:22:11.189544+00:00,dimensioni del profilo,window_frame,an installation manual,"```json
{
  ""source_text"": ""Prima di procedere con l'installazione, verificare attentamente le dimensioni del profilo per assicurare la compatibilità con il vano murario e i componenti di fissaggio."",
  ""target_text_en"": ""Before proceeding with the installation, carefully verify the profile dimensions to ensure compatibility with the wall opening and the fastening components."",
  ""target_text_fr"": ""Avant de procéder à l'installation, vérifier attentivement les dimensions du profilé afin d'assurer la compatibilité avec l'ouverture murale et les composants de fixation."",
  ""target_text_es"": ""Antes de proceder con la instalación, verifique cuidadosamente las dimensiones del perfil para asegurar la compatibilidad con el hueco de la pared y los componentes de fijación.""
}
```"
"Prima di procedere con l'installazione, verificare attentamente le dimensioni del profilo per assicurare la compatibilità con il vano murario e i componenti di fissaggio.","Antes de proceder con la instalación, verifique cuidadosamente las dimensiones del perfil para asegurar la compatibilidad con el hueco de la pared y los componentes de fijación.",ita_Latn,spa_Latn,glossary,google/gemini-2.5-flash,json_v1,2026-05-03T14:22:11.189544+00:00,dimensioni del profilo,window_frame,an installation manual,"```json
{
  ""source_text"": ""Prima di procedere con l'installazione, verificare attentamente le dimensioni del profilo per assicurare la compatibilità con il vano murario e i componenti di fissaggio."",
  ""target_text_en"": ""Before proceeding with the installation, carefully verify the profile dimensions to ensure compatibility with the wall opening and the fastening components."",
  ""target_text_fr"": ""Avant de procéder à l'installation, vérifier attentivement les dimensions du profilé afin d'assurer la compatibilité avec l'ouverture murale et les composants de fixation."",
  ""target_text_es"": ""Antes de proceder con la instalación, verifique cuidadosamente las dimensiones del perfil para asegurar la compatibilidad con el hueco de la pared y los componentes de fijación.""
}
```"
"Antes de proceder con la instalación, verifique cuidadosamente las dimensiones del perfil para asegurar la compatibilidad con el hueco de la pared y los componentes de fijación.","Prima di procedere con l'installazione, verificare attentamente le dimensioni del profilo per assicurare la compatibilità con il vano murario e i componenti di fissaggio.",spa_Latn,ita_Latn,glossary,google/gemini-2.5-flash,json_v1,2026-05-03T14:22:11.189544+00:00,dimensioni del profilo,window_frame,an installation manual,"```json
{
  ""source_text"": ""Prima di procedere con l'installazione, verificare attentamente le dimensioni del profilo per assicurare la compatibilità con il vano murario e i componenti di fissaggio."",
  ""target_text_en"": ""Before proceeding with the installation, carefully verify the profile dimensions to ensure compatibility with the wall opening and the fastening components."",
  ""target_text_fr"": ""Avant de procéder à l'installation, vérifier attentivement les dimensions du profilé afin d'assurer la compatibilité avec l'ouverture murale et les composants de fixation."",
  ""target_text_es"": ""Antes de proceder con la instalación, verifique cuidadosamente las dimensiones del perfil para asegurar la compatibilidad con el hueco de la pared y los componentes de fijación.""
}
```"
"Applicare il nastro adesivo di sigillatura lungo il perimetro esterno del telaio, assicurandosi una perfetta aderenza per garantire l'impermeabilizzazione contro gli agenti atmosferici.","Apply the sealing adhesive tape along the outer perimeter of the frame, ensuring perfect adhesion to guarantee waterproofing against atmospheric agents.",ita_Latn,eng_Latn,glossary,google/gemini-2.5-flash,json_v1,2026-05-03T14:22:11.189544+00:00,nastro adesivo di sigillatura,sealing,an installation manual,"```json
{
  ""source_text"": ""Applicare il nastro adesivo di sigillatura lungo il perimetro esterno del telaio, assicurandosi una perfetta aderenza per garantire l'impermeabilizzazione contro gli agenti atmosferici."",
  ""target_text_en"": ""Apply the sealing adhesive tape along the outer perimeter of the frame, ensuring perfect adhesion to guarantee waterproofing against atmospheric agents."",
  ""target_text_fr"": ""Appliquer le ruban adhésif d'étanchéité le long du périmètre extérieur du dormant, en s'assurant d'une adhérence parfaite pour garantir l'étanchéité aux agents atmosphériques."",
  ""target_text_es"": ""Aplicar la cinta adhesiva de sellado a lo largo del perímetro exterior del marco, asegurando una adhesión perfecta para garantizar la impermeabilización contra los agentes atmosféricos.""
}
```"
"Apply the sealing adhesive tape along the outer perimeter of the frame, ensuring perfect adhesion to guarantee waterproofing against atmospheric agents.","Applicare il nastro adesivo di sigillatura lungo il perimetro esterno del telaio, assicurandosi una perfetta aderenza per garantire l'impermeabilizzazione contro gli agenti atmosferici.",eng_Latn,ita_Latn,glossary,google/gemini-2.5-flash,json_v1,2026-05-03T14:22:11.189544+00:00,nastro adesivo di sigillatura,sealing,an installation manual,"```json
{
  ""source_text"": ""Applicare il nastro adesivo di sigillatura lungo il perimetro esterno del telaio, assicurandosi una perfetta aderenza per garantire l'impermeabilizzazione contro gli agenti atmosferici."",
  ""target_text_en"": ""Apply the sealing adhesive tape along the outer perimeter of the frame, ensuring perfect adhesion to guarantee waterproofing against atmospheric agents."",
  ""target_text_fr"": ""Appliquer le ruban adhésif d'étanchéité le long du périmètre extérieur du dormant, en s'assurant d'une adhérence parfaite pour garantir l'étanchéité aux agents atmosphériques."",
  ""target_text_es"": ""Aplicar la cinta adhesiva de sellado a lo largo del perímetro exterior del marco, asegurando una adhesión perfecta para garantizar la impermeabilización contra los agentes atmosféricos.""
}
```"
"Applicare il nastro adesivo di sigillatura lungo il perimetro esterno del telaio, assicurandosi una perfetta aderenza per garantire l'impermeabilizzazione contro gli agenti atmosferici.","Appliquer le ruban adhésif d'étanchéité le long du périmètre extérieur du dormant, en s'assurant d'une adhérence parfaite pour garantir l'étanchéité aux agents atmosphériques.",ita_Latn,fra_Latn,glossary,google/gemini-2.5-flash,json_v1,2026-05-03T14:22:11.189544+00:00,nastro adesivo di sigillatura,sealing,an installation manual,"```json
{
  ""source_text"": ""Applicare il nastro adesivo di sigillatura lungo il perimetro esterno del telaio, assicurandosi una perfetta aderenza per garantire l'impermeabilizzazione contro gli agenti atmosferici."",
  ""target_text_en"": ""Apply the sealing adhesive tape along the outer perimeter of the frame, ensuring perfect adhesion to guarantee waterproofing against atmospheric agents."",
  ""target_text_fr"": ""Appliquer le ruban adhésif d'étanchéité le long du périmètre extérieur du dormant, en s'assurant d'une adhérence parfaite pour garantir l'étanchéité aux agents atmosphériques."",
  ""target_text_es"": ""Aplicar la cinta adhesiva de sellado a lo largo del perímetro exterior del marco, asegurando una adhesión perfecta para garantizar la impermeabilización contra los agentes atmosféricos.""
}
```"
"Appliquer le ruban adhésif d'étanchéité le long du périmètre extérieur du dormant, en s'assurant d'une adhérence parfaite pour garantir l'étanchéité aux agents atmosphériques.","Applicare il nastro adesivo di sigillatura lungo il perimetro esterno del telaio, assicurandosi una perfetta aderenza per garantire l'impermeabilizzazione contro gli agenti atmosferici.",fra_Latn,ita_Latn,glossary,google/gemini-2.5-flash,json_v1,2026-05-03T14:22:11.189544+00:00,nastro adesivo di sigillatura,sealing,an installation manual,"```json
{
  ""source_text"": ""Applicare il nastro adesivo di sigillatura lungo il perimetro esterno del telaio, assicurandosi una perfetta aderenza per garantire l'impermeabilizzazione contro gli agenti atmosferici."",
  ""target_text_en"": ""Apply the sealing adhesive tape along the outer perimeter of the frame, ensuring perfect adhesion to guarantee waterproofing against atmospheric agents."",
  ""target_text_fr"": ""Appliquer le ruban adhésif d'étanchéité le long du périmètre extérieur du dormant, en s'assurant d'une adhérence parfaite pour garantir l'étanchéité aux agents atmosphériques."",
  ""target_text_es"": ""Aplicar la cinta adhesiva de sellado a lo largo del perímetro exterior del marco, asegurando una adhesión perfecta para garantizar la impermeabilización contra los agentes atmosféricos.""
}
```"
