source_text,target_text,source_lang,target_lang,origin,detected_lang
There are no gaps in the system.,The system is continuous with no gaps.,ita_Latn,eng_Latn,pdf_mining,en
Draw inspiration from our entire laminate programme.,Take inspiration from our entire laminate program.,ita_Latn,eng_Latn,pdf_mining,fr
The huge selection of roller shutter systems from the compre- hensive heroal portfolio ensures that the curtain will perfectly adapt to your customer's wishes.,"""The extensive heroal portfolio offers a vast range of roller shutter systems to perfectly match your customer's preferences.""",ita_Latn,eng_Latn,pdf_mining,en
The huge selection of roller shutter systems from the compre- hensive heroal portfolio ensures that the curtain will perfectly adapt to your customer's wishes.,"""La gamme exhaustive de systèmes de volets roulants du portefeuille heroal offre une vaste sélection permettant de correspondre parfaitement aux souhaits de vos clients.""",ita_Latn,fra_Latn,pdf_mining,en
The huge selection of roller shutter systems from the compre- hensive heroal portfolio ensures that the curtain will perfectly adapt to your customer's wishes.,"""La amplia gama de sistemas de rollo de blindes del portafolio heroal garantiza que el cortina se ajuste perfectamente a las deseos de tu cliente.""",ita_Latn,spa_Latn,pdf_mining,en
® MX1200 The MX1200 shutter with an open revision cove.,The MX1200 shutter with an open revision cover.,ita_Latn,eng_Latn,pdf_mining,en
Edged prefabricated system For installation as a screen or with a plaster base for integration into the plaster façade.,Prefabricated system with edged design for installation as a screen or with a plaster base for integration into a plaster facade.,ita_Latn,eng_Latn,pdf_mining,en
Edged prefabricated system For installation as a screen or with a plaster base for integration into the plaster façade.,Système préfabriqué à bords arrondis conçu pour l'installation en tant qu'écran ou sur une base de plâtre pour intégration dans une façade en plâtre.,ita_Latn,fra_Latn,pdf_mining,en
Edged prefabricated system For installation as a screen or with a plaster base for integration into the plaster façade.,Sistema prefabricado con diseño bordes para su instalación como pantalla o sobre una base de yeso para su integración en la fachada de yeso.,ita_Latn,spa_Latn,pdf_mining,en
for kitchens) > Restaurant and hotel construction Decors (lamination) Light Oak D04 Oak desert D05 Oak white D06 Granite D30 Concrete light grey D32 Concrete grey D33 Concrete ceramico D34 Stone grey ceramico D35 Stone white ceramico D36 Marmor D37 Rusty brown D38 Uni white D50 Decors (digital printing) Bourgogne M31 Bourgogne grey M32 Travertino White M33 Terrazzo hellgrau M34 Terrazzo grigio scuro M35 Claire M36 Klinkerstein M30 Deep Dark 1 M37 Landhaus Eiche weiß geölt M50 Teak Wall II M51 Vanille D54 Structure pearl cross D76 Structure steel grey cross D77 29 28 29 KömaAlu ® Aluminium composite sheet for indoor and outdoor applications KömaAlu is an innovation composite material consisting of aluminium covers and a polyethylene core bonded together to form a resilient unit.,"""For kitchens: > Decors for Restaurant and Hotel Construction (Lamination) Light Oak D04, Oak desert D05, Oak white D06, Granite D30, Concrete light grey D32, Concrete grey D33, Concrete ceramico D34, Stone grey ceramico D35, Stone white ceramico D36, Marmor D37, Rusty brown D38, Uni white D50, Decors (digital printing) Bourgogne M31, Bourgogne grey M32, Travertino White M33, Terrazzo hellgrau M34, Terrazzo grigio scuro M35, Claire M36, Klinkerstein M30, Deep Dark 1 M37, Landhaus Eiche weiß geölt M50, Teak Wall II M",ita_Latn,eng_Latn,pdf_mining,en
