source_text,target_text,source_lang,target_lang,term_keyword
"""La installazione di finestre termopane richiede l'uso di cassonetti coibentati per garantire la massima efficienza termica e l'adeguata resistenza meccanica durante il montaggio.""","""The installation of thermopane windows requires the use of adjustable frames (cassettes) to ensure maximum thermal efficiency and adequate mechanical strength during mounting.""",ita_Latn,eng_Latn,cassonetto coibentato
"""La installazione di finestre termopane richiede l'uso di cassonetti coibentati per garantire la massima efficienza termica e l'adeguata resistenza meccanica durante il montaggio.""","""L'installation de fenêtres thermopanes exige l'emploi de boîtes de fenêtres à réglage pour assurer une efficacité thermique maximale et une résistance mécanique adéquate pendant le montage.""",ita_Latn,fra_Latn,cassonetto coibentato
"""La installazione di finestre termopane richiede l'uso di cassonetti coibentati per garantire la massima efficienza termica e l'adeguata resistenza meccanica durante il montaggio.""","""La instalación de ventanas termoplanas requiere el uso de cajas de ventanas ajustables para garantizar una eficiencia termal máxima y una resistencia mecánica adecuada durante la instalación.""",ita_Latn,spa_Latn,cassonetto coibentato
Il montaggio del finestrino di alta efficienza energetica richiede la installazione di un cassonetto coibentato per garantire l'appoggio esatto e la chiusura hermetica.,The installation of an energy-efficient window requires the mounting of a coated frame to ensure precise support and airtight closure.,ita_Latn,eng_Latn,cassonetto coibentato
Il montaggio del finestrino di alta efficienza energetica richiede la installazione di un cassonetto coibentato per garantire l'appoggio esatto e la chiusura hermetica.,L'installation d'une fenêtre haute efficacité énergétique nécessite l'installation d'un coffret contraint d'assurer le support exact et la fermeture étanche.,ita_Latn,fra_Latn,cassonetto coibentato
Il montaggio del finestrino di alta efficienza energetica richiede la installazione di un cassonetto coibentato per garantire l'appoggio esatto e la chiusura hermetica.,La instalación de una ventana de alta eficiencia energética requiere la instalación de una caja recubierta para asegurar el apoyo preciso y la cerradura hermética.,ita_Latn,spa_Latn,cassonetto coibentato
"La installazione di finestre termicamente efficienti richiede l'uso di un ""cassonetto coibentato"" per assicurare il corretto allineamento e la chiusura erzodicamente stretta tra il frame e la soffitta.","The installation of thermally efficient windows requires the use of a ""coibentated box"" to ensure correct alignment and airtight closure between the frame and the sill.",ita_Latn,eng_Latn,cassonetto coibentato
"La installazione di finestre termicamente efficienti richiede l'uso di un ""cassonetto coibentato"" per assicurare il corretto allineamento e la chiusura erzodicamente stretta tra il frame e la soffitta.","L'installation de fenêtres efficaces thermiquement nécessite l'utilisation d'un ""cassette coibée"" pour assurer la bonne alignment et la fermeture étanche entre le cadre et la plate-forme.",ita_Latn,fra_Latn,cassonetto coibentato
"La installazione di finestre termicamente efficienti richiede l'uso di un ""cassonetto coibentato"" per assicurare il corretto allineamento e la chiusura erzodicamente stretta tra il frame e la soffitta.","La instalación de ventanas termalmente eficientes requiere el uso de un ""cassete coibada"" para garantizar la correcta alineación y la cierre aérea estrecha entre el marco y la zapa.",ita_Latn,spa_Latn,cassonetto coibentato
"Il montaggio del cassonetto coibentato deve essere eseguito con precisione, assicurandosi che il profilo di spaccato e il bordo interno siano allineati esattamente con quelli della finestra nuova, garantendo una buona fusione termica e un'ottima performance energetica.","The installation of the coated frame must be carried out with precision, ensuring that the frame profile and the inner edge are perfectly aligned with those of the new window, ensuring good thermal fusion and excellent energy performance.",ita_Latn,eng_Latn,cassonetto coibentato
"Il montaggio del cassonetto coibentato deve essere eseguito con precisione, assicurandosi che il profilo di spaccato e il bordo interno siano allineati esattamente con quelli della finestra nuova, garantendo una buona fusione termica e un'ottima performance energetica.","L'installation du cadre revêtu doit être effectuée avec soin, veillez à ce que le profil de biseau et le bord intérieur soient exactement alignés avec ceux de la nouvelle fenêtre, garantissant une bonne fusion thermique et une excellente performance énergétique.",ita_Latn,fra_Latn,cassonetto coibentato
"Il montaggio del cassonetto coibentato deve essere eseguito con precisione, assicurandosi che il profilo di spaccato e il bordo interno siano allineati esattamente con quelli della finestra nuova, garantendo una buona fusione termica e un'ottima performance energetica.","La instalación del marco recubierto debe realizarse con precaución, asegúrese de que el perfil de juntas y el borde interior estén exactamente alineados",ita_Latn,spa_Latn,cassonetto coibentato
"""Durante l'installazione di finestre termopane, assicurarsi che il cassonetto coibentato sia appropriatamente allineato con il profilo di allaccamento per assicurare un'efficienza termica ottimale.""","""During the installation of thermopane windows, ensure that the coated box is properly aligned with the mounting profile to ensure optimal thermal efficiency.""",ita_Latn,eng_Latn,cassonetto coibentato
