source_text,target_text,source_lang,target_lang,origin,model_id,prompt_version,created_at,term,context,doc_type,raw_output
"Durante l'installazione, assicurati che tutte le parti in contatto con materiali combustibili siano conformi agli standard di resistenza al fuoco per garantire la sicurezza dell'edificio.","During installation, ensure all components in contact with combustible materials meet fire resistance standards to guarantee building safety.",ita_Latn,eng_Latn,glossary,ollama/aya-expanse:8b,json_v1,2026-05-02T08:29:06.174861+00:00,resistenza al fuoco,performance,an installation manual,"```json
{
  ""source_text"": ""Durante l'installazione, assicurati che tutte le parti in contatto con materiali combustibili siano conformi agli standard di resistenza al fuoco per garantire la sicurezza dell'edificio."",
  ""target_text_en"": ""During installation, ensure all components in contact with combustible materials meet fire resistance standards to guarantee building safety."",
  ""target_text_fr"": ""Pendant l'installation, assurez-vous que toutes les parties en contact avec des matériaux combustibles respectent les normes de résistance au feu pour garantir la sécurité du bâtiment."",
  ""target_text_es"": ""Durante la instalación, asegúrese de que todas las partes en contacto con materiales combustibles cumplan con los estándares de resistencia al fuego para garantizar la seguridad del edificio.""
}
```"
"Durante l'installazione, assicurati che tutte le parti in contatto con materiali combustibili siano conformi agli standard di resistenza al fuoco per garantire la sicurezza dell'edificio.","Pendant l'installation, assurez-vous que toutes les parties en contact avec des matériaux combustibles respectent les normes de résistance au feu pour garantir la sécurité du bâtiment.",ita_Latn,fra_Latn,glossary,ollama/aya-expanse:8b,json_v1,2026-05-02T08:29:06.174861+00:00,resistenza al fuoco,performance,an installation manual,"```json
{
  ""source_text"": ""Durante l'installazione, assicurati che tutte le parti in contatto con materiali combustibili siano conformi agli standard di resistenza al fuoco per garantire la sicurezza dell'edificio."",
  ""target_text_en"": ""During installation, ensure all components in contact with combustible materials meet fire resistance standards to guarantee building safety."",
  ""target_text_fr"": ""Pendant l'installation, assurez-vous que toutes les parties en contact avec des matériaux combustibles respectent les normes de résistance au feu pour garantir la sécurité du bâtiment."",
  ""target_text_es"": ""Durante la instalación, asegúrese de que todas las partes en contacto con materiales combustibles cumplan con los estándares de resistencia al fuego para garantizar la seguridad del edificio.""
}
```"
"Durante l'installazione, assicurati che tutte le parti in contatto con materiali combustibili siano conformi agli standard di resistenza al fuoco per garantire la sicurezza dell'edificio.","Durante la instalación, asegúrese de que todas las partes en contacto con materiales combustibles cumplan con los estándares de resistencia al fuego para garantizar la seguridad del edificio.",ita_Latn,spa_Latn,glossary,ollama/aya-expanse:8b,json_v1,2026-05-02T08:29:06.174861+00:00,resistenza al fuoco,performance,an installation manual,"```json
{
  ""source_text"": ""Durante l'installazione, assicurati che tutte le parti in contatto con materiali combustibili siano conformi agli standard di resistenza al fuoco per garantire la sicurezza dell'edificio."",
  ""target_text_en"": ""During installation, ensure all components in contact with combustible materials meet fire resistance standards to guarantee building safety."",
  ""target_text_fr"": ""Pendant l'installation, assurez-vous que toutes les parties en contact avec des matériaux combustibles respectent les normes de résistance au feu pour garantir la sécurité du bâtiment."",
  ""target_text_es"": ""Durante la instalación, asegúrese de que todas las partes en contacto con materiales combustibles cumplan con los estándares de resistencia al fuego para garantizar la seguridad del edificio.""
}
```"
"Durante l'installazione, assicurati che il profilo di tenuta sia perfettamente allineato e sigillato per garantire una massima efficacia nella prevenzione dell'infiltrazione d'acqua.","During installation, ensure the sealing profile is perfectly aligned and sealed to achieve maximum effectiveness in preventing water infiltration.",ita_Latn,eng_Latn,glossary,ollama/aya-expanse:8b,json_v1,2026-05-02T08:29:06.174861+00:00,profilo di tenuta,sealing,an installation manual,"```json
{
  ""source_text"": ""Durante l'installazione, assicurati che il profilo di tenuta sia perfettamente allineato e sigillato per garantire una massima efficacia nella prevenzione dell'infiltrazione d'acqua."",
  ""target_text_en"": ""During installation, ensure the sealing profile is perfectly aligned and sealed to achieve maximum effectiveness in preventing water infiltration."",
  ""target_text_fr"": ""Pendant l'installation, assurez-vous que le profil de scellage soit parfaitement aligné et scellé pour garantir une efficacité maximale dans la prévention de l'infiltration d'eau."",
  ""target_text_es"": ""Durante la instalación, asegúrese de que el perfil de sellado esté perfectamente alineado y sellado para lograr una máxima eficacia en la prevención de la infiltración de agua.""
}
```"
"Durante l'installazione, assicurati che il profilo di tenuta sia perfettamente allineato e sigillato per garantire una massima efficacia nella prevenzione dell'infiltrazione d'acqua.","Pendant l'installation, assurez-vous que le profil de scellage soit parfaitement aligné et scellé pour garantir une efficacité maximale dans la prévention de l'infiltration d'eau.",ita_Latn,fra_Latn,glossary,ollama/aya-expanse:8b,json_v1,2026-05-02T08:29:06.174861+00:00,profilo di tenuta,sealing,an installation manual,"```json
{
  ""source_text"": ""Durante l'installazione, assicurati che il profilo di tenuta sia perfettamente allineato e sigillato per garantire una massima efficacia nella prevenzione dell'infiltrazione d'acqua."",
  ""target_text_en"": ""During installation, ensure the sealing profile is perfectly aligned and sealed to achieve maximum effectiveness in preventing water infiltration."",
  ""target_text_fr"": ""Pendant l'installation, assurez-vous que le profil de scellage soit parfaitement aligné et scellé pour garantir une efficacité maximale dans la prévention de l'infiltration d'eau."",
  ""target_text_es"": ""Durante la instalación, asegúrese de que el perfil de sellado esté perfectamente alineado y sellado para lograr una máxima eficacia en la prevención de la infiltración de agua.""
}
```"
"Durante l'installazione, assicurati che il profilo di tenuta sia perfettamente allineato e sigillato per garantire una massima efficacia nella prevenzione dell'infiltrazione d'acqua.","Durante la instalación, asegúrese de que el perfil de sellado esté perfectamente alineado y sellado para lograr una máxima eficacia en la prevención de la infiltración de agua.",ita_Latn,spa_Latn,glossary,ollama/aya-expanse:8b,json_v1,2026-05-02T08:29:06.174861+00:00,profilo di tenuta,sealing,an installation manual,"```json
{
  ""source_text"": ""Durante l'installazione, assicurati che il profilo di tenuta sia perfettamente allineato e sigillato per garantire una massima efficacia nella prevenzione dell'infiltrazione d'acqua."",
  ""target_text_en"": ""During installation, ensure the sealing profile is perfectly aligned and sealed to achieve maximum effectiveness in preventing water infiltration."",
  ""target_text_fr"": ""Pendant l'installation, assurez-vous que le profil de scellage soit parfaitement aligné et scellé pour garantir une efficacité maximale dans la prévention de l'infiltration d'eau."",
  ""target_text_es"": ""Durante la instalación, asegúrese de que el perfil de sellado esté perfectamente alineado y sellado para lograr una máxima eficacia en la prevención de la infiltración de agua.""
}
```"
"Per garantire una corretta sigillatura, applicare un nastro adesivo di sigillatura lungo i bordi delle finestre per creare una barriera impermeabile contro l'ingresso di acqua e umidità.","To ensure proper sealing, apply a weatherstripping adhesive tape along the edges of the windows to create an airtight barrier against water and moisture entry.",ita_Latn,eng_Latn,glossary,ollama/aya-expanse:8b,json_v1,2026-05-02T08:29:06.174861+00:00,nastro adesivo di sigillatura,sealing,an installation manual,"```json
{
  ""source_text"": ""Per garantire una corretta sigillatura, applicare un nastro adesivo di sigillatura lungo i bordi delle finestre per creare una barriera impermeabile contro l'ingresso di acqua e umidità."",
  ""target_text_en"": ""To ensure proper sealing, apply a weatherstripping adhesive tape along the edges of the windows to create an airtight barrier against water and moisture entry."",
  ""target_text_fr"": ""Afin d'assurer un scellage adéquat, appliquez un ruban adhésif de scellement le long des bords des fenêtres pour créer une barrière étanche contre l'entrée d'eau et d'humidité."",
  ""target_text_es"": ""Para garantizar un sellado correcto, aplique una cinta adhesiva de sellado a lo largo de los bordes de las ventanas para crear una barrera impermeable contra la entrada de agua y humedad.""
}
```"
"Per garantire una corretta sigillatura, applicare un nastro adesivo di sigillatura lungo i bordi delle finestre per creare una barriera impermeabile contro l'ingresso di acqua e umidità.","Afin d'assurer un scellage adéquat, appliquez un ruban adhésif de scellement le long des bords des fenêtres pour créer une barrière étanche contre l'entrée d'eau et d'humidité.",ita_Latn,fra_Latn,glossary,ollama/aya-expanse:8b,json_v1,2026-05-02T08:29:06.174861+00:00,nastro adesivo di sigillatura,sealing,an installation manual,"```json
{
  ""source_text"": ""Per garantire una corretta sigillatura, applicare un nastro adesivo di sigillatura lungo i bordi delle finestre per creare una barriera impermeabile contro l'ingresso di acqua e umidità."",
  ""target_text_en"": ""To ensure proper sealing, apply a weatherstripping adhesive tape along the edges of the windows to create an airtight barrier against water and moisture entry."",
  ""target_text_fr"": ""Afin d'assurer un scellage adéquat, appliquez un ruban adhésif de scellement le long des bords des fenêtres pour créer une barrière étanche contre l'entrée d'eau et d'humidité."",
  ""target_text_es"": ""Para garantizar un sellado correcto, aplique una cinta adhesiva de sellado a lo largo de los bordes de las ventanas para crear una barrera impermeable contra la entrada de agua y humedad.""
}
```"
"Per garantire una corretta sigillatura, applicare un nastro adesivo di sigillatura lungo i bordi delle finestre per creare una barriera impermeabile contro l'ingresso di acqua e umidità.","Para garantizar un sellado correcto, aplique una cinta adhesiva de sellado a lo largo de los bordes de las ventanas para crear una barrera impermeable contra la entrada de agua y humedad.",ita_Latn,spa_Latn,glossary,ollama/aya-expanse:8b,json_v1,2026-05-02T08:29:06.174861+00:00,nastro adesivo di sigillatura,sealing,an installation manual,"```json
{
  ""source_text"": ""Per garantire una corretta sigillatura, applicare un nastro adesivo di sigillatura lungo i bordi delle finestre per creare una barriera impermeabile contro l'ingresso di acqua e umidità."",
  ""target_text_en"": ""To ensure proper sealing, apply a weatherstripping adhesive tape along the edges of the windows to create an airtight barrier against water and moisture entry."",
  ""target_text_fr"": ""Afin d'assurer un scellage adéquat, appliquez un ruban adhésif de scellement le long des bords des fenêtres pour créer une barrière étanche contre l'entrée d'eau et d'humidité."",
  ""target_text_es"": ""Para garantizar un sellado correcto, aplique una cinta adhesiva de sellado a lo largo de los bordes de las ventanas para crear una barrera impermeable contra la entrada de agua y humedad.""
}
```"
"Prima di iniziare la posa del nuovo vetro, assicurarsi che tutta la superficie sia coperta da un sottile strato di film protettivo per evitare impronte e graffi durante le fasi successive dell'installazione.","Before starting the installation of the new glass, ensure that the entire surface is covered with a thin layer of protective film to prevent smudges and scratches during subsequent installation steps.",ita_Latn,eng_Latn,glossary,ollama/aya-expanse:8b,json_v1,2026-05-02T08:29:06.174861+00:00,film protettivo,product,an installation manual,"```json
{
  ""source_text"": ""Prima di iniziare la posa del nuovo vetro, assicurarsi che tutta la superficie sia coperta da un sottile strato di film protettivo per evitare impronte e graffi durante le fasi successive dell'installazione."",
  ""target_text_en"": ""Before starting the installation of the new glass, ensure that the entire surface is covered with a thin layer of protective film to prevent smudges and scratches during subsequent installation steps."",
  ""target_text_fr"": ""Avant de commencer l'installation du nouveau verre, assurez-vous que toute la surface soit recouverte d'une fine couche de film protecteur afin d'éviter les traces et éraflures durant les étapes suivantes de l'installation."",
  ""target_text_es"": ""Antes de comenzar la instalación del nuevo vidrio, asegúrese de que toda la superficie esté cubierta con una fina capa de película protectora para evitar marcas y arañazos durante las etapas subsiguientes de instalación.""
}
```"
