source_text,target_text,source_lang,target_lang,origin,model_id,prompt_version,created_at,term,context,doc_type,raw_output
Assicurarsi che il profilo di tenuta sia correttamente posizionato per garantire un sigillo efficace contro l'umidità e i cambiamenti di temperatura.,Ensure that the weatherproof profile is correctly positioned to guarantee an effective seal against moisture and temperature changes.,ita_Latn,eng_Latn,glossary,ollama/qwen2.5:32b,json_v1,2026-05-02T08:28:24.056762+00:00,profilo di tenuta,sealing,an installation manual,"{
  ""source_text"": ""Assicurarsi che il profilo di tenuta sia correttamente posizionato per garantire un sigillo efficace contro l'umidità e i cambiamenti di temperatura."",
  ""target_text_en"": ""Ensure that the weatherproof profile is correctly positioned to guarantee an effective seal against moisture and temperature changes."",
  ""target_text_fr"": ""Vérifiez que le profil étanche soit correctement positionné pour garantir une scellement efficace contre l'humidité et les changements de température."",
  ""target_text_es"": ""Asegúrese de que el perfil impermeabilizante esté correctamente posicionado para garantizar una sellado eficaz contra la humedad y los cambios de temperatura.""
}"
Assicurarsi che il profilo di tenuta sia correttamente posizionato per garantire un sigillo efficace contro l'umidità e i cambiamenti di temperatura.,Vérifiez que le profil étanche soit correctement positionné pour garantir une scellement efficace contre l'humidité et les changements de température.,ita_Latn,fra_Latn,glossary,ollama/qwen2.5:32b,json_v1,2026-05-02T08:28:24.056762+00:00,profilo di tenuta,sealing,an installation manual,"{
  ""source_text"": ""Assicurarsi che il profilo di tenuta sia correttamente posizionato per garantire un sigillo efficace contro l'umidità e i cambiamenti di temperatura."",
  ""target_text_en"": ""Ensure that the weatherproof profile is correctly positioned to guarantee an effective seal against moisture and temperature changes."",
  ""target_text_fr"": ""Vérifiez que le profil étanche soit correctement positionné pour garantir une scellement efficace contre l'humidité et les changements de température."",
  ""target_text_es"": ""Asegúrese de que el perfil impermeabilizante esté correctamente posicionado para garantizar una sellado eficaz contra la humedad y los cambios de temperatura.""
}"
Assicurarsi che il profilo di tenuta sia correttamente posizionato per garantire un sigillo efficace contro l'umidità e i cambiamenti di temperatura.,Asegúrese de que el perfil impermeabilizante esté correctamente posicionado para garantizar una sellado eficaz contra la humedad y los cambios de temperatura.,ita_Latn,spa_Latn,glossary,ollama/qwen2.5:32b,json_v1,2026-05-02T08:28:24.056762+00:00,profilo di tenuta,sealing,an installation manual,"{
  ""source_text"": ""Assicurarsi che il profilo di tenuta sia correttamente posizionato per garantire un sigillo efficace contro l'umidità e i cambiamenti di temperatura."",
  ""target_text_en"": ""Ensure that the weatherproof profile is correctly positioned to guarantee an effective seal against moisture and temperature changes."",
  ""target_text_fr"": ""Vérifiez que le profil étanche soit correctement positionné pour garantir une scellement efficace contre l'humidité et les changements de température."",
  ""target_text_es"": ""Asegúrese de que el perfil impermeabilizante esté correctamente posicionado para garantizar una sellado eficaz contra la humedad y los cambios de temperatura.""
}"
"Per garantire una chiusura ermetica, applicare il nastro adesivo di sigillatura intorno ai profili delle finestre prima della montatura definitiva.","To ensure airtight closure, apply the sealing tape around the window profiles before final installation.",ita_Latn,eng_Latn,glossary,ollama/qwen2.5:32b,json_v1,2026-05-02T08:28:24.056762+00:00,nastro adesivo di sigillatura,sealing,an installation manual,"{
  ""source_text"": ""Per garantire una chiusura ermetica, applicare il nastro adesivo di sigillatura intorno ai profili delle finestre prima della montatura definitiva."",
  ""target_text_en"": ""To ensure airtight closure, apply the sealing tape around the window profiles before final installation."",
  ""target_text_fr"": ""Pour garantir une fermeture étanche, appliquez le ruban adhésif de scellement autour des profilés de fenêtre avant l'installation finale."",
  ""target_text_es"": ""Para garantizar un cierre hermético, aplique la cinta adhesiva de sellado alrededor de los perfiles de las ventanas antes de la instalación definitiva.""
}"
"Per garantire una chiusura ermetica, applicare il nastro adesivo di sigillatura intorno ai profili delle finestre prima della montatura definitiva.","Pour garantir une fermeture étanche, appliquez le ruban adhésif de scellement autour des profilés de fenêtre avant l'installation finale.",ita_Latn,fra_Latn,glossary,ollama/qwen2.5:32b,json_v1,2026-05-02T08:28:24.056762+00:00,nastro adesivo di sigillatura,sealing,an installation manual,"{
  ""source_text"": ""Per garantire una chiusura ermetica, applicare il nastro adesivo di sigillatura intorno ai profili delle finestre prima della montatura definitiva."",
  ""target_text_en"": ""To ensure airtight closure, apply the sealing tape around the window profiles before final installation."",
  ""target_text_fr"": ""Pour garantir une fermeture étanche, appliquez le ruban adhésif de scellement autour des profilés de fenêtre avant l'installation finale."",
  ""target_text_es"": ""Para garantizar un cierre hermético, aplique la cinta adhesiva de sellado alrededor de los perfiles de las ventanas antes de la instalación definitiva.""
}"
"Per garantire una chiusura ermetica, applicare il nastro adesivo di sigillatura intorno ai profili delle finestre prima della montatura definitiva.","Para garantizar un cierre hermético, aplique la cinta adhesiva de sellado alrededor de los perfiles de las ventanas antes de la instalación definitiva.",ita_Latn,spa_Latn,glossary,ollama/qwen2.5:32b,json_v1,2026-05-02T08:28:24.056762+00:00,nastro adesivo di sigillatura,sealing,an installation manual,"{
  ""source_text"": ""Per garantire una chiusura ermetica, applicare il nastro adesivo di sigillatura intorno ai profili delle finestre prima della montatura definitiva."",
  ""target_text_en"": ""To ensure airtight closure, apply the sealing tape around the window profiles before final installation."",
  ""target_text_fr"": ""Pour garantir une fermeture étanche, appliquez le ruban adhésif de scellement autour des profilés de fenêtre avant l'installation finale."",
  ""target_text_es"": ""Para garantizar un cierre hermético, aplique la cinta adhesiva de sellado alrededor de los perfiles de las ventanas antes de la instalación definitiva.""
}"
Assicurarsi che il film protettivo sia rimasto integro durante il trasporto e prima dell'installazione.,Ensure that the protective film remains intact during transportation and before installation.,ita_Latn,eng_Latn,glossary,ollama/qwen2.5:32b,json_v1,2026-05-02T08:28:24.056762+00:00,film protettivo,product,an installation manual,"{
  ""source_text"": ""Assicurarsi che il film protettivo sia rimasto integro durante il trasporto e prima dell'installazione."",
  ""target_text_en"": ""Ensure that the protective film remains intact during transportation and before installation."",
  ""target_text_fr"": ""Vérifiez que le film protecteur reste intact pendant le transport et avant l'installation."",
  ""target_text_es"": ""Asegúrese de que la película protectora permanezca intacta durante el transporte y antes de la instalación.""
}"
Assicurarsi che il film protettivo sia rimasto integro durante il trasporto e prima dell'installazione.,Vérifiez que le film protecteur reste intact pendant le transport et avant l'installation.,ita_Latn,fra_Latn,glossary,ollama/qwen2.5:32b,json_v1,2026-05-02T08:28:24.056762+00:00,film protettivo,product,an installation manual,"{
  ""source_text"": ""Assicurarsi che il film protettivo sia rimasto integro durante il trasporto e prima dell'installazione."",
  ""target_text_en"": ""Ensure that the protective film remains intact during transportation and before installation."",
  ""target_text_fr"": ""Vérifiez que le film protecteur reste intact pendant le transport et avant l'installation."",
  ""target_text_es"": ""Asegúrese de que la película protectora permanezca intacta durante el transporte y antes de la instalación.""
}"
Assicurarsi che il film protettivo sia rimasto integro durante il trasporto e prima dell'installazione.,Asegúrese de que la película protectora permanezca intacta durante el transporte y antes de la instalación.,ita_Latn,spa_Latn,glossary,ollama/qwen2.5:32b,json_v1,2026-05-02T08:28:24.056762+00:00,film protettivo,product,an installation manual,"{
  ""source_text"": ""Assicurarsi che il film protettivo sia rimasto integro durante il trasporto e prima dell'installazione."",
  ""target_text_en"": ""Ensure that the protective film remains intact during transportation and before installation."",
  ""target_text_fr"": ""Vérifiez que le film protecteur reste intact pendant le transport et avant l'installation."",
  ""target_text_es"": ""Asegúrese de que la película protectora permanezca intacta durante el transporte y antes de la instalación.""
}"
Tutte le finestre Roverplastik sono sottoposte a test rigorosi di resistenza al fuoco per garantire la massima sicurezza e conformità alle normative vigenti.,All Roverplastik windows are subjected to rigorous fire resistance tests to ensure maximum safety and compliance with current regulations.,ita_Latn,eng_Latn,glossary,ollama/qwen2.5:32b,json_v1,2026-05-02T08:28:24.056762+00:00,resistenza al fuoco,performance,an installation manual,"{
  ""source_text"": ""Tutte le finestre Roverplastik sono sottoposte a test rigorosi di resistenza al fuoco per garantire la massima sicurezza e conformità alle normative vigenti."",
  ""target_text_en"": ""All Roverplastik windows are subjected to rigorous fire resistance tests to ensure maximum safety and compliance with current regulations."",
  ""target_text_fr"": ""Toutes les fenêtres Roverplastik sont soumises à des tests rigoureux de résistance au feu pour garantir la sécurité maximale et la conformité aux réglementations en vigueur."",
  ""target_text_es"": ""Todas las ventanas Roverplastik se someten a rigurosos ensayos de resistencia al fuego para garantizar la máxima seguridad y cumplimiento con las normativas vigentes.""
}"
