source_text,target_text,source_lang,target_lang,origin,model_id,prompt_version,created_at,term,context,doc_type,raw_output
Applicare il film protettivo su entrambe le superfici del vetro per evitare danni durante la fase di trasporto e installazione.,Apply the protective film on both surfaces of the glass to prevent damage during the transport and installation phase.,ita_Latn,eng_Latn,glossary,ollama/mistral-small3.2,json_v1,2026-05-02T08:36:09.131281+00:00,film protettivo,product,an installation manual,"```json
{
  ""source_text"": ""Applicare il film protettivo su entrambe le superfici del vetro per evitare danni durante la fase di trasporto e installazione."",
  ""target_text_en"": ""Apply the protective film on both surfaces of the glass to prevent damage during the transport and installation phase."",
  ""target_text_fr"": ""Appliquer le film protecteur sur les deux surfaces du verre pour éviter les dommages pendant la phase de transport et d'installation."",
  ""target_text_es"": ""Aplicar la película protectora en ambas superficies del cristal para evitar daños durante la fase de transporte e instalación.""
}
```"
Applicare il film protettivo su entrambe le superfici del vetro per evitare danni durante la fase di trasporto e installazione.,Appliquer le film protecteur sur les deux surfaces du verre pour éviter les dommages pendant la phase de transport et d'installation.,ita_Latn,fra_Latn,glossary,ollama/mistral-small3.2,json_v1,2026-05-02T08:36:09.131281+00:00,film protettivo,product,an installation manual,"```json
{
  ""source_text"": ""Applicare il film protettivo su entrambe le superfici del vetro per evitare danni durante la fase di trasporto e installazione."",
  ""target_text_en"": ""Apply the protective film on both surfaces of the glass to prevent damage during the transport and installation phase."",
  ""target_text_fr"": ""Appliquer le film protecteur sur les deux surfaces du verre pour éviter les dommages pendant la phase de transport et d'installation."",
  ""target_text_es"": ""Aplicar la película protectora en ambas superficies del cristal para evitar daños durante la fase de transporte e instalación.""
}
```"
Applicare il film protettivo su entrambe le superfici del vetro per evitare danni durante la fase di trasporto e installazione.,Aplicar la película protectora en ambas superficies del cristal para evitar daños durante la fase de transporte e instalación.,ita_Latn,spa_Latn,glossary,ollama/mistral-small3.2,json_v1,2026-05-02T08:36:09.131281+00:00,film protettivo,product,an installation manual,"```json
{
  ""source_text"": ""Applicare il film protettivo su entrambe le superfici del vetro per evitare danni durante la fase di trasporto e installazione."",
  ""target_text_en"": ""Apply the protective film on both surfaces of the glass to prevent damage during the transport and installation phase."",
  ""target_text_fr"": ""Appliquer le film protecteur sur les deux surfaces du verre pour éviter les dommages pendant la phase de transport et d'installation."",
  ""target_text_es"": ""Aplicar la película protectora en ambas superficies del cristal para evitar daños durante la fase de transporte e instalación.""
}
```"
Applicare il nastro adesivo di sigillatura lungo i bordi della finestra per garantire un'adeguata tenuta stagionale.,Apply the sealing tape along the window edges to ensure adequate seasonal weatherproofing.,ita_Latn,eng_Latn,glossary,ollama/mistral-small3.2,json_v1,2026-05-02T08:36:09.131281+00:00,nastro adesivo di sigillatura,sealing,an installation manual,"```json
{
  ""source_text"": ""Applicare il nastro adesivo di sigillatura lungo i bordi della finestra per garantire un'adeguata tenuta stagionale."",
  ""target_text_en"": ""Apply the sealing tape along the window edges to ensure adequate seasonal weatherproofing."",
  ""target_text_fr"": ""Appliquer le ruban adhésif de scellage le long des bords de la fenêtre pour assurer une isolation saisonnière adéquate."",
  ""target_text_es"": ""Aplicar la cinta adhesiva de sellado a lo largo de los bordes de la ventana para garantizar un aislamiento estacional adecuado.""
}
```"
Applicare il nastro adesivo di sigillatura lungo i bordi della finestra per garantire un'adeguata tenuta stagionale.,Appliquer le ruban adhésif de scellage le long des bords de la fenêtre pour assurer une isolation saisonnière adéquate.,ita_Latn,fra_Latn,glossary,ollama/mistral-small3.2,json_v1,2026-05-02T08:36:09.131281+00:00,nastro adesivo di sigillatura,sealing,an installation manual,"```json
{
  ""source_text"": ""Applicare il nastro adesivo di sigillatura lungo i bordi della finestra per garantire un'adeguata tenuta stagionale."",
  ""target_text_en"": ""Apply the sealing tape along the window edges to ensure adequate seasonal weatherproofing."",
  ""target_text_fr"": ""Appliquer le ruban adhésif de scellage le long des bords de la fenêtre pour assurer une isolation saisonnière adéquate."",
  ""target_text_es"": ""Aplicar la cinta adhesiva de sellado a lo largo de los bordes de la ventana para garantizar un aislamiento estacional adecuado.""
}
```"
Applicare il nastro adesivo di sigillatura lungo i bordi della finestra per garantire un'adeguata tenuta stagionale.,Aplicar la cinta adhesiva de sellado a lo largo de los bordes de la ventana para garantizar un aislamiento estacional adecuado.,ita_Latn,spa_Latn,glossary,ollama/mistral-small3.2,json_v1,2026-05-02T08:36:09.131281+00:00,nastro adesivo di sigillatura,sealing,an installation manual,"```json
{
  ""source_text"": ""Applicare il nastro adesivo di sigillatura lungo i bordi della finestra per garantire un'adeguata tenuta stagionale."",
  ""target_text_en"": ""Apply the sealing tape along the window edges to ensure adequate seasonal weatherproofing."",
  ""target_text_fr"": ""Appliquer le ruban adhésif de scellage le long des bords de la fenêtre pour assurer une isolation saisonnière adéquate."",
  ""target_text_es"": ""Aplicar la cinta adhesiva de sellado a lo largo de los bordes de la ventana para garantizar un aislamiento estacional adecuado.""
}
```"
"Prima dell'installazione, verificare che il profilo in PVC soddisfi i requisiti di resistenza al fuoco previsti dalla norma EN 1364-3.","Before installation, ensure that the PVC profile meets the fire resistance requirements specified in standard EN 1364-3.",ita_Latn,eng_Latn,glossary,ollama/mistral-small3.2,json_v1,2026-05-02T08:36:09.131281+00:00,resistenza al fuoco,performance,an installation manual,"```json
{
  ""source_text"": ""Prima dell'installazione, verificare che il profilo in PVC soddisfi i requisiti di resistenza al fuoco previsti dalla norma EN 1364-3."",
  ""target_text_en"": ""Before installation, ensure that the PVC profile meets the fire resistance requirements specified in standard EN 1364-3."",
  ""target_text_fr"": ""Avant l'installation, veuillez vérifier que le profil en PVC répond aux exigences de résistance au feu prévues par la norme EN 1364-3."",
  ""target_text_es"": ""Antes de la instalación, asegúrese de que el perfil de PVC cumpla con los requisitos de resistencia al fuego especificados en la norma EN 1364-3.""
}
```"
"Prima dell'installazione, verificare che il profilo in PVC soddisfi i requisiti di resistenza al fuoco previsti dalla norma EN 1364-3.","Avant l'installation, veuillez vérifier que le profil en PVC répond aux exigences de résistance au feu prévues par la norme EN 1364-3.",ita_Latn,fra_Latn,glossary,ollama/mistral-small3.2,json_v1,2026-05-02T08:36:09.131281+00:00,resistenza al fuoco,performance,an installation manual,"```json
{
  ""source_text"": ""Prima dell'installazione, verificare che il profilo in PVC soddisfi i requisiti di resistenza al fuoco previsti dalla norma EN 1364-3."",
  ""target_text_en"": ""Before installation, ensure that the PVC profile meets the fire resistance requirements specified in standard EN 1364-3."",
  ""target_text_fr"": ""Avant l'installation, veuillez vérifier que le profil en PVC répond aux exigences de résistance au feu prévues par la norme EN 1364-3."",
  ""target_text_es"": ""Antes de la instalación, asegúrese de que el perfil de PVC cumpla con los requisitos de resistencia al fuego especificados en la norma EN 1364-3.""
}
```"
"Prima dell'installazione, verificare che il profilo in PVC soddisfi i requisiti di resistenza al fuoco previsti dalla norma EN 1364-3.","Antes de la instalación, asegúrese de que el perfil de PVC cumpla con los requisitos de resistencia al fuego especificados en la norma EN 1364-3.",ita_Latn,spa_Latn,glossary,ollama/mistral-small3.2,json_v1,2026-05-02T08:36:09.131281+00:00,resistenza al fuoco,performance,an installation manual,"```json
{
  ""source_text"": ""Prima dell'installazione, verificare che il profilo in PVC soddisfi i requisiti di resistenza al fuoco previsti dalla norma EN 1364-3."",
  ""target_text_en"": ""Before installation, ensure that the PVC profile meets the fire resistance requirements specified in standard EN 1364-3."",
  ""target_text_fr"": ""Avant l'installation, veuillez vérifier que le profil en PVC répond aux exigences de résistance au feu prévues par la norme EN 1364-3."",
  ""target_text_es"": ""Antes de la instalación, asegúrese de que el perfil de PVC cumpla con los requisitos de resistencia al fuego especificados en la norma EN 1364-3.""
}
```"
Assicurarsi che il profilo di tenuta sia correttamente posizionato tra il telaio della finestra e la parete per garantire la massima tenuta stagionale.,Ensure that the weatherstripping profile is correctly positioned between the window frame and the wall to guarantee maximum seasonal weatherproofing.,ita_Latn,eng_Latn,glossary,ollama/mistral-small3.2,json_v1,2026-05-02T08:36:09.131281+00:00,profilo di tenuta,sealing,an installation manual,"```json
{
  ""source_text"": ""Assicurarsi che il profilo di tenuta sia correttamente posizionato tra il telaio della finestra e la parete per garantire la massima tenuta stagionale."",
  ""target_text_en"": ""Ensure that the weatherstripping profile is correctly positioned between the window frame and the wall to guarantee maximum seasonal weatherproofing."",
  ""target_text_fr"": ""Assurez-vous que le profil d'étanchéité est correctement positionné entre le cadre de la fenêtre et le mur pour garantir une étanchéité maximale saisonnière."",
  ""target_text_es"": ""Asegúrese de que el perfil de estanqueidad esté correctamente posicionado entre el marco de la ventana y la pared para garantizar el máximo aislamiento estacional.""
}
```"
