source_text,target_text,source_lang,target_lang,term_keyword,detected_lang
"""Il monoblocco di vetro insulare deve essere accuratamente installato per assicurare massima efficacia termica e acustica."" (The insulating glass monobloc must be accurately installed to ensure maximum thermal and acoustic performance.)","""The insulating glass monobloc must be accurately installed to secure maximum thermal and acoustic performance.""",ita_Latn,eng_Latn,monoblocco,en
"""Il monoblocco di vetro insulare deve essere accuratamente installato per assicurare massima efficacia termica e acustica."" (The insulating glass monobloc must be accurately installed to ensure maximum thermal and acoustic performance.)","""Le monobloc de verre isolant doit être correctement installé pour assurer une performance thermique et acoustique maximale."" (The insulating glass monobloc must be correctly installed to ensure maximum thermal and acoustic performance.)",ita_Latn,fra_Latn,monoblocco,en
"""Il monoblocco di vetro insulare deve essere accuratamente installato per assicurare massima efficacia termica e acustica."" (The insulating glass monobloc must be accurately installed to ensure maximum thermal and acoustic performance.)","""El monobloc de vidrio isolante debe ser instalado con precisión para garantizar un rendimiento termico y acustico maximo."" (The insulating glass monobloc must be installed accurately to ensure maximum thermal and acoustic performance.)",ita_Latn,spa_Latn,monoblocco,en
[This monobloc window from Roverplastik ensures a high energy efficiency in the construction sector.],[This monobloc window from Roverplastik guarantees high energy efficiency in the building industry.],ita_Latn,eng_Latn,monoblocco,en
[This monobloc window from Roverplastik ensures a high energy efficiency in the construction sector.],[Cette fenêtre monobloc de Roverplastik assure une forte efficacité énergétique dans le sect,ita_Latn,fra_Latn,monoblocco,en
[This monobloc window from Roverplastik ensures a high energy efficiency in the construction sector.],"La ventana monobloque de Roverplastik ofrece excelente rendimiento termico, con un valor U de 0,8 W/(m²K).",ita_Latn,spa_Latn,monoblocco,en
[Italian Sentence],[English Technical Translation],ita_Latn,eng_Latn,monoblocco,en
[Italian Sentence],[French Technical Trans,ita_Latn,fra_Latn,monoblocco,en
[Italian Sentence],"La instalación de ventanas monobloc comienza con la preparación de la pared de apoyo, seguida por la colocación de la base en hormigón y finalmente la montaje de los monoblocs en sí mismos.",ita_Latn,spa_Latn,monoblocco,en
The butt-welded shoulder (spalla coibentata) must be precisely soldered (soldare) to the sash bar for maximum wind resistance (resistenza al vento) and best thermal efficiency (migliore efficienza termica).,The butt-wel,ita_Latn,eng_Latn,spalla coibentata,en
The butt-welded shoulder (spalla coibentata) must be precisely soldered (soldare) to the sash bar for maximum wind resistance (resistenza al vento) and best thermal efficiency (migliore efficienza termica).,L'épaule coibée doit être soudée précisement à la barre de fermeture pour assurer la plus grande résistance au vent et la meilleure efficacité thermique.,ita_Latn,fra_Latn,spalla coibentata,en
The butt-welded shoulder (spalla coibentata) must be precisely soldered (soldare) to the sash bar for maximum wind resistance (resistenza al vento) and best thermal efficiency (migliore efficienza termica).,La cintura estrella debe ser soldada precisamente a la barra de cierre para garantizar la mayor resistencia al viento y la mejor eficiencia termal.,ita_Latn,spa_Latn,spalla coibentata,en
[Italian Sentence],[English Technical Translation],ita_Latn,eng_Latn,sottobancale,en
[Italian Sentence],La fenêtre à volet à installer doit avoir des mesures précises et la position exacte du sous-solive pour assurer une efficacité thermique maximale durant l'isolation thermique.,ita_Latn,fra_Latn,sottobancale,en
[Italian Sentence],La ventana de bajante en instalación debe tener medidas precisas y la posición correcta del sótano para garantizar una eficiencia térmica máxima durante la aislación termal.,ita_Latn,spa_Latn,sottobancale,en
(Italian),(English),ita_Latn,eng_Latn,sottobancale,id
(Italian),"La fenêtre à vitres isolantes neuf doit être installée avec une précision méticuleuse sur les bancs inférieurs, assurez-vous que les bords latéraux soient parfaitement alignés.",ita_Latn,fra_Latn,sottobancale,id
(Italian),"La nueva ventana de vidrios termoislantes debe instalarse con precisión meticulosa en los bancos inferiores, asegúrate de que los bordes laterales estén perfectamente alineados.",ita_Latn,spa_Latn,sottobancale,id
[Italian Sentence],"The Roverplastik high-efficiency thermal glass window must be installed correctly, with the profiles in the right position and the sills properly covered to ensure adequate thermal insulation below.",ita_Latn,eng_Latn,sottobancale,en
[Italian Sentence],"La fenêtre à verre isolant haute performance de Roverplastik doit être installée correctement, avec les profilés dans la position correcte et les bancs de façon à assurer une isolation thermique adéquate sous-banquette.",ita_Latn,fra_Latn,sottobancale,en
[Italian Sentence],"La ventana de vidrio isolante de alto rendimiento de Roverplastik debe instalarse correctamente, con perfiles en la posición correcta y bancas de manera de garantizar una aislamiento termico adecuado debajo.",ita_Latn,spa_Latn,sottobancale,en
(Italian),"(English) The modern-style Roverplastik window with a view must be installed accurately, ensuring correct thermal contact between the glass and the underlying substructure.",ita_Latn,eng_Latn,sottobancale,id
(Italian),(French) La fenêtre à vue de style moder,ita_Latn,fra_Latn,sottobancale,id
(Italian),"La ventana moderna de Roverplastik a vista debe instalarse con cuidado, garantizando un buen contacto termal entre el vidrio y la estructura bajo-bancal.",ita_Latn,spa_Latn,sottobancale,id
(Italian sentence for window installation instruction),(English technical translation),ita_Latn,eng_Latn,sottobancale,en
(Italian sentence for window installation instruction),"La fenêtre à vide Roverplastik à haute efficacité thermique doit être installée avec précision, avec des profils de montage sous-sol en bas du mur.",ita_Latn,fra_Latn,sottobancale,en
(Italian sentence for window installation instruction),"La ventana vaciada Roverplastik de alta eficiencia termal debe instalarse con precisión, con perfiles de montaje debajo de la pared.",ita_Latn,spa_Latn,sottobancale,en
"The quadruple-folding aluminum-wrapped window ensures the highest thermal and acoustic efficiency, with the best insulation and sound reduction. (For installation instructions)",To,ita_Latn,eng_Latn,avvolgibile in alluminio,en
"The quadruple-folding aluminum-wrapped window ensures the highest thermal and acoustic efficiency, with the best insulation and sound reduction. (For installation instructions)","La fenêtre à pliage quadruple revêtue d'aluminium offre la plus grande efficacité thermique et acoustique, assurant la meilleure isolation thermique et la réduction du bruit.",ita_Latn,fra_Latn,avvolgibile in alluminio,en
"The quadruple-folding aluminum-wrapped window ensures the highest thermal and acoustic efficiency, with the best insulation and sound reduction. (For installation instructions)","La ventana doble pliegue revestida de aluminio ofrece la mayor eficiencia térmica y acústica, asegurando la mejor aislamiento térmico y la reducción del ruido.",ita_Latn,spa_Latn,avvolgibile in alluminio,en
[Italian Sentence],[English Technical Translation],ita_Latn,eng_Latn,avvolgibile in alluminio,en
[Italian Sentence],La fenêtre à glissière recouverte d'aluminium doit être solidement associée au profil d'ancrage pour assurer une efficacité thermique et acoustique maximale.,ita_Latn,fra_Latn,avvolgibile in alluminio,en
[Italian Sentence],La ventana de desplazamiento recubierta de aluminio debe ser estrechamente acoplada al perfil de anclaje para garantizar una eficacia térmica y acústica máxima.,ita_Latn,spa_Latn,avvolgibile in alluminio,en
"""La finestra con chiusura oscurante deve essere installata con estrema precauzione, poiché l'efficacia termica dipende fortemente dalla corretta chiusura completa."" (The window with obscure closing must be installed with the utmost care, because its thermal efficiency strongly depends on the complete and correct obscure closing.)","""The window with obscure closing must be installed with utmost care as its thermal efficiency largely relies on the complete and correct obscure closing.""",ita_Latn,eng_Latn,chiusura oscurante,en
"""La finestra con chiusura oscurante deve essere installata con estrema precauzione, poiché l'efficacia termica dipende fortemente dalla corretta chiusura completa."" (The window with obscure closing must be installed with the utmost care, because its thermal efficiency strongly depends on the complete and correct obscure closing.)","""La fenêtre à fermeture occlusante doit être installée avec une grande précaution car sa performance thermique dépend fortement de la bonne fermeture complète."" (The window with obscure closing must be installed with great care, as its thermal performance heavily relies on the complete and correct obscure closing.)",ita_Latn,fra_Latn,chiusura oscurante,en
"""La finestra con chiusura oscurante deve essere installata con estrema precauzione, poiché l'efficacia termica dipende fortemente dalla corretta chiusura completa."" (The window with obscure closing must be installed with the utmost care, because its thermal efficiency strongly depends on the complete and correct obscure closing.)","""La ventana con clausura oculta debe ser instalada con mucha precaución, ya que su eficiencia termal depende en gran medida de la buena clausura completa."" (The window with obscure closing must",ita_Latn,spa_Latn,chiusura oscurante,en
"(The window with obscure closing should be installed with extreme precision to ensure maximum thermal and acoustic performance, minimizing heat loss and external noise.)","The window with obscure closing must be installed with extreme accuracy to ensure maximum thermal and acoustic performance, minimizing heat loss and external noise.",ita_Latn,eng_Latn,chiusura oscurante,en
"(The window with obscure closing should be installed with extreme precision to ensure maximum thermal and acoustic performance, minimizing heat loss and external noise.)","La fenêtre à fermeture occulte doit être installée avec une extrême précision pour assurer une performance thermique et acoustique maximales, en réduisant au minimum les pertes de chaleur et le bruit extérieur.",ita_Latn,fra_Latn,chiusura oscurante,en
"(The window with obscure closing should be installed with extreme precision to ensure maximum thermal and acoustic performance, minimizing heat loss and external noise.)","La ventana con cerradura oscura debe instalarse con una extrema precisión para garantizar un rendimiento termico y acustico maximo, minimizando las pérdidas de calor y el ruido externo.",ita_Latn,spa_Latn,chiusura oscurante,en
