source_text,target_text,source_lang,target_lang,origin
Il sistema ROKA-RUBO consiste in un grande numero di varianti per quasi tutti i tipi di impiego.,The ROKA-RUBO system consists of a large number of variants for almost all types of application.,ita_Latn,eng_Latn,pdf_mining
Il sistema ROKA-RUBO consiste in un grande numero di varianti per quasi tutti i tipi di impiego.,Le système ROKA-RUBO est constitué d'une grande variété de variantes pour presque tous types d'application.,ita_Latn,fra_Latn,pdf_mining
Il sistema ROKA-RUBO consiste in un grande numero di varianti per quasi tutti i tipi di impiego.,El sistema ROKA-RUBO se compone de una gran variedad de variantes para casi todos tipos de aplicación.,ita_Latn,spa_Latn,pdf_mining
Grazie alla sua perfetta prestazione isolante soddisfa tutte le esigenze secondo il regolamento sul consumo energetico (EnEV) e per questo è molto adatto all’utilizzo in case a bass consumo di energia.,"""Thanks to its perfect insulating performance, it meets all the requirements according to the ENEV energy consumption regulation and is therefore very suitable for use in energy-efficient buildings.""",ita_Latn,eng_Latn,pdf_mining
Grazie alla sua perfetta prestazione isolante soddisfa tutte le esigenze secondo il regolamento sul consumo energetico (EnEV) e per questo è molto adatto all’utilizzo in case a bass consumo di energia.,"""Grâce à sa parfaite performance isolante, elle répond à tous les exigences du règlement ENEV sur la consommation d'énergie et est donc très adaptée à l'utilisation dans des bâtiments à faible consommation d'énergie.""",ita_Latn,fra_Latn,pdf_mining
Grazie alla sua perfetta prestazione isolante soddisfa tutte le esigenze secondo il regolamento sul consumo energetico (EnEV) e per questo è molto adatto all’utilizzo in case a bass consumo di energia.,"""Gracias a su perfecta actuación isolante, satisface todas las exigencias según el reglamento ENEV sobre el consumo energético y por ello es muy adecuado para su uso en edificios de baja consumo de energía.""",ita_Latn,spa_Latn,pdf_mining
I prospetti interni del progetto di costruzione vengono adattati alla variazione maggiore corrispondente (arco interno).,"""The internal perspectives of the construction project are adapted to the corresponding major variation (arch internal).""",ita_Latn,eng_Latn,pdf_mining
Grazie al suo architrave integrato rende il montaggio semplice e diminuisce i costosi lavori di casseratura di un architrave.,"""Thanks to its integrated architrave, the installation is simple and reduces the costly works of dismantling an architrave.""",ita_Latn,eng_Latn,pdf_mining
Grazie al suo architrave integrato rende il montaggio semplice e diminuisce i costosi lavori di casseratura di un architrave.,"""Grâce à son architrave intégré, l'installation est simple et réduit les travaux coûteux de démontage d'un architrave.""",ita_Latn,fra_Latn,pdf_mining
Grazie al suo architrave integrato rende il montaggio semplice e diminuisce i costosi lavori di casseratura di un architrave.,"""Gracias a su arquitrave integrado, la instalación es sencilla y reduce los trabajos desmontajes costosos de un arquitrave.""",ita_Latn,spa_Latn,pdf_mining
