source_text,target_text,source_lang,target_lang,origin,model_id,prompt_version,created_at,term,context,doc_type,raw_output
Il film protettivo deve essere applicato sul vetro prima dell'installazione per garantire la massima durata e resistenza alla luce ultravioletta.,The protective film must be applied to the glass before installation to ensure maximum durability and resistance to ultraviolet light.,ita_Latn,eng_Latn,glossary,ollama/phi4,json_v1,2026-05-02T08:49:06.041423+00:00,film protettivo,product,an installation manual,"```json
{
  ""source_text"": ""Il film protettivo deve essere applicato sul vetro prima dell'installazione per garantire la massima durata e resistenza alla luce ultravioletta."",
  ""target_text_en"": ""The protective film must be applied to the glass before installation to ensure maximum durability and resistance to ultraviolet light."",
  ""target_text_fr"": ""Le film protecteur doit être appliqué sur le verre avant l'installation pour garantir une durabilité maximale et une résistance à la lumière ultraviolette."",
  ""target_text_es"": ""El film protector debe aplicarse al vidrio antes de la instalación para asegurar máxima durabilidad y resistencia a la luz ultravioleta.""
}
```"
Il film protettivo deve essere applicato sul vetro prima dell'installazione per garantire la massima durata e resistenza alla luce ultravioletta.,Le film protecteur doit être appliqué sur le verre avant l'installation pour garantir une durabilité maximale et une résistance à la lumière ultraviolette.,ita_Latn,fra_Latn,glossary,ollama/phi4,json_v1,2026-05-02T08:49:06.041423+00:00,film protettivo,product,an installation manual,"```json
{
  ""source_text"": ""Il film protettivo deve essere applicato sul vetro prima dell'installazione per garantire la massima durata e resistenza alla luce ultravioletta."",
  ""target_text_en"": ""The protective film must be applied to the glass before installation to ensure maximum durability and resistance to ultraviolet light."",
  ""target_text_fr"": ""Le film protecteur doit être appliqué sur le verre avant l'installation pour garantir une durabilité maximale et une résistance à la lumière ultraviolette."",
  ""target_text_es"": ""El film protector debe aplicarse al vidrio antes de la instalación para asegurar máxima durabilidad y resistencia a la luz ultravioleta.""
}
```"
Il film protettivo deve essere applicato sul vetro prima dell'installazione per garantire la massima durata e resistenza alla luce ultravioletta.,El film protector debe aplicarse al vidrio antes de la instalación para asegurar máxima durabilidad y resistencia a la luz ultravioleta.,ita_Latn,spa_Latn,glossary,ollama/phi4,json_v1,2026-05-02T08:49:06.041423+00:00,film protettivo,product,an installation manual,"```json
{
  ""source_text"": ""Il film protettivo deve essere applicato sul vetro prima dell'installazione per garantire la massima durata e resistenza alla luce ultravioletta."",
  ""target_text_en"": ""The protective film must be applied to the glass before installation to ensure maximum durability and resistance to ultraviolet light."",
  ""target_text_fr"": ""Le film protecteur doit être appliqué sur le verre avant l'installation pour garantir une durabilité maximale et une résistance à la lumière ultraviolette."",
  ""target_text_es"": ""El film protector debe aplicarse al vidrio antes de la instalación para asegurar máxima durabilidad y resistencia a la luz ultravioleta.""
}
```"
Assicurarsi che il profilo di tenuta sia correttamente inserito e sigillato per garantire l'impermeabilità e la resistenza agli agenti atmosferici.,Ensure that the sealing profile is properly fitted and sealed to guarantee waterproofing and resistance to weather elements.,ita_Latn,eng_Latn,glossary,ollama/phi4,json_v1,2026-05-02T08:49:06.041423+00:00,profilo di tenuta,sealing,an installation manual,"```json
{
  ""source_text"": ""Assicurarsi che il profilo di tenuta sia correttamente inserito e sigillato per garantire l'impermeabilità e la resistenza agli agenti atmosferici."",
  ""target_text_en"": ""Ensure that the sealing profile is properly fitted and sealed to guarantee waterproofing and resistance to weather elements."",
  ""target_text_fr"": ""Assurez-vous que le profil d'étanchéité est correctement inséré et scellé pour garantir l'imperméabilité et la résistance aux éléments extérieurs."",
  ""target_text_es"": ""Asegúrese de que el perfil de sellado se ajuste y cierre correctamente para garantizar la impermeabilización y resistencia a los elementos climáticos.""
}
```"
Assicurarsi che il profilo di tenuta sia correttamente inserito e sigillato per garantire l'impermeabilità e la resistenza agli agenti atmosferici.,Assurez-vous que le profil d'étanchéité est correctement inséré et scellé pour garantir l'imperméabilité et la résistance aux éléments extérieurs.,ita_Latn,fra_Latn,glossary,ollama/phi4,json_v1,2026-05-02T08:49:06.041423+00:00,profilo di tenuta,sealing,an installation manual,"```json
{
  ""source_text"": ""Assicurarsi che il profilo di tenuta sia correttamente inserito e sigillato per garantire l'impermeabilità e la resistenza agli agenti atmosferici."",
  ""target_text_en"": ""Ensure that the sealing profile is properly fitted and sealed to guarantee waterproofing and resistance to weather elements."",
  ""target_text_fr"": ""Assurez-vous que le profil d'étanchéité est correctement inséré et scellé pour garantir l'imperméabilité et la résistance aux éléments extérieurs."",
  ""target_text_es"": ""Asegúrese de que el perfil de sellado se ajuste y cierre correctamente para garantizar la impermeabilización y resistencia a los elementos climáticos.""
}
```"
Assicurarsi che il profilo di tenuta sia correttamente inserito e sigillato per garantire l'impermeabilità e la resistenza agli agenti atmosferici.,Asegúrese de que el perfil de sellado se ajuste y cierre correctamente para garantizar la impermeabilización y resistencia a los elementos climáticos.,ita_Latn,spa_Latn,glossary,ollama/phi4,json_v1,2026-05-02T08:49:06.041423+00:00,profilo di tenuta,sealing,an installation manual,"```json
{
  ""source_text"": ""Assicurarsi che il profilo di tenuta sia correttamente inserito e sigillato per garantire l'impermeabilità e la resistenza agli agenti atmosferici."",
  ""target_text_en"": ""Ensure that the sealing profile is properly fitted and sealed to guarantee waterproofing and resistance to weather elements."",
  ""target_text_fr"": ""Assurez-vous que le profil d'étanchéité est correctement inséré et scellé pour garantir l'imperméabilité et la résistance aux éléments extérieurs."",
  ""target_text_es"": ""Asegúrese de que el perfil de sellado se ajuste y cierre correctamente para garantizar la impermeabilización y resistencia a los elementos climáticos.""
}
```"
"Per garantire la conformità alle normative vigenti, tutti i prodotti Roverplastik sono sottoposti a rigorosi test di resistenza al fuoco prima della certificazione.","To ensure compliance with current regulations, all Roverplastik products undergo rigorous fire resistance testing prior to certification.",ita_Latn,eng_Latn,glossary,ollama/phi4,json_v1,2026-05-02T08:49:06.041423+00:00,resistenza al fuoco,performance,an installation manual,"```json
{
  ""source_text"": ""Per garantire la conformità alle normative vigenti, tutti i prodotti Roverplastik sono sottoposti a rigorosi test di resistenza al fuoco prima della certificazione."",
  ""target_text_en"": ""To ensure compliance with current regulations, all Roverplastik products undergo rigorous fire resistance testing prior to certification."",
  ""target_text_fr"": ""Pour garantir la conformité aux réglementations en vigueur, tous les produits Roverplastik subissent des tests rigoureux de résistance au feu avant leur certification."",
  ""target_text_es"": ""Para asegurar el cumplimiento con las normativas vigentes, todos los productos Roverplastik se someten a estrictos ensayos de resistencia al fuego antes de su certificación.""
}
```"
"Per garantire la conformità alle normative vigenti, tutti i prodotti Roverplastik sono sottoposti a rigorosi test di resistenza al fuoco prima della certificazione.","Pour garantir la conformité aux réglementations en vigueur, tous les produits Roverplastik subissent des tests rigoureux de résistance au feu avant leur certification.",ita_Latn,fra_Latn,glossary,ollama/phi4,json_v1,2026-05-02T08:49:06.041423+00:00,resistenza al fuoco,performance,an installation manual,"```json
{
  ""source_text"": ""Per garantire la conformità alle normative vigenti, tutti i prodotti Roverplastik sono sottoposti a rigorosi test di resistenza al fuoco prima della certificazione."",
  ""target_text_en"": ""To ensure compliance with current regulations, all Roverplastik products undergo rigorous fire resistance testing prior to certification."",
  ""target_text_fr"": ""Pour garantir la conformité aux réglementations en vigueur, tous les produits Roverplastik subissent des tests rigoureux de résistance au feu avant leur certification."",
  ""target_text_es"": ""Para asegurar el cumplimiento con las normativas vigentes, todos los productos Roverplastik se someten a estrictos ensayos de resistencia al fuego antes de su certificación.""
}
```"
"Per garantire la conformità alle normative vigenti, tutti i prodotti Roverplastik sono sottoposti a rigorosi test di resistenza al fuoco prima della certificazione.","Para asegurar el cumplimiento con las normativas vigentes, todos los productos Roverplastik se someten a estrictos ensayos de resistencia al fuego antes de su certificación.",ita_Latn,spa_Latn,glossary,ollama/phi4,json_v1,2026-05-02T08:49:06.041423+00:00,resistenza al fuoco,performance,an installation manual,"```json
{
  ""source_text"": ""Per garantire la conformità alle normative vigenti, tutti i prodotti Roverplastik sono sottoposti a rigorosi test di resistenza al fuoco prima della certificazione."",
  ""target_text_en"": ""To ensure compliance with current regulations, all Roverplastik products undergo rigorous fire resistance testing prior to certification."",
  ""target_text_fr"": ""Pour garantir la conformité aux réglementations en vigueur, tous les produits Roverplastik subissent des tests rigoureux de résistance au feu avant leur certification."",
  ""target_text_es"": ""Para asegurar el cumplimiento con las normativas vigentes, todos los productos Roverplastik se someten a estrictos ensayos de resistencia al fuego antes de su certificación.""
}
```"
Applicare il nastro adesivo di sigillatura lungo i bordi dell'infisso per garantire un tenuta ermetica e migliorare l'impermeabilità.,Apply the sealing adhesive tape along the edges of the window frame to ensure an airtight seal and enhance water resistance.,ita_Latn,eng_Latn,glossary,ollama/phi4,json_v1,2026-05-02T08:49:06.041423+00:00,nastro adesivo di sigillatura,sealing,an installation manual,"```json
{
  ""source_text"": ""Applicare il nastro adesivo di sigillatura lungo i bordi dell'infisso per garantire un tenuta ermetica e migliorare l'impermeabilità."",
  ""target_text_en"": ""Apply the sealing adhesive tape along the edges of the window frame to ensure an airtight seal and enhance water resistance."",
  ""target_text_fr"": ""Appliquez le ruban adhésif de scellement le long des bords du dormant pour garantir une étanchéité hermétique et améliorer l'imperméabilité."",
  ""target_text_es"": ""Aplicar el cinta adhesiva de sellado a lo largo de los bordes del marco para asegurar un sello hermético y mejorar la impermeabilidad.""
}
```"
