source_text,target_text,source_lang,target_lang,origin,model_id,prompt_version,created_at,term,context,doc_type,raw_output
"Durante l'installazione del telaio, assicurarsi che il profilo di tenuta sia posizionato correttamente per garantire una barriera ermetica contro infiltrazioni d'acqua e correnti d'aria.","During frame installation, ensure the sealing profile is positioned correctly to guarantee an airtight barrier against water infiltration and drafts.",ita_Latn,eng_Latn,glossary,ollama/gemma3:27b,json_v1,2026-05-02T08:46:03.566133+00:00,profilo di tenuta,sealing,an installation manual,"```json
{
  ""source_text"": ""Durante l'installazione del telaio, assicurarsi che il profilo di tenuta sia posizionato correttamente per garantire una barriera ermetica contro infiltrazioni d'acqua e correnti d'aria."",
  ""target_text_en"": ""During frame installation, ensure the sealing profile is positioned correctly to guarantee an airtight barrier against water infiltration and drafts."",
  ""target_text_fr"": ""Lors de l'installation du cadre, assurez-vous que le profil d'étanchéité est correctement positionné pour garantir une barrière hermétique contre les infiltrations d'eau et les courants d'air."",
  ""target_text_es"": ""Durante la instalación del marco, asegúrese de que el perfil de estanqueidad esté correctamente posicionado para garantizar una barrera hermética contra la infiltración de agua y las corrientes de aire.""
}
```"
"Durante l'installazione del telaio, assicurarsi che il profilo di tenuta sia posizionato correttamente per garantire una barriera ermetica contro infiltrazioni d'acqua e correnti d'aria.","Lors de l'installation du cadre, assurez-vous que le profil d'étanchéité est correctement positionné pour garantir une barrière hermétique contre les infiltrations d'eau et les courants d'air.",ita_Latn,fra_Latn,glossary,ollama/gemma3:27b,json_v1,2026-05-02T08:46:03.566133+00:00,profilo di tenuta,sealing,an installation manual,"```json
{
  ""source_text"": ""Durante l'installazione del telaio, assicurarsi che il profilo di tenuta sia posizionato correttamente per garantire una barriera ermetica contro infiltrazioni d'acqua e correnti d'aria."",
  ""target_text_en"": ""During frame installation, ensure the sealing profile is positioned correctly to guarantee an airtight barrier against water infiltration and drafts."",
  ""target_text_fr"": ""Lors de l'installation du cadre, assurez-vous que le profil d'étanchéité est correctement positionné pour garantir une barrière hermétique contre les infiltrations d'eau et les courants d'air."",
  ""target_text_es"": ""Durante la instalación del marco, asegúrese de que el perfil de estanqueidad esté correctamente posicionado para garantizar una barrera hermética contra la infiltración de agua y las corrientes de aire.""
}
```"
"Durante l'installazione del telaio, assicurarsi che il profilo di tenuta sia posizionato correttamente per garantire una barriera ermetica contro infiltrazioni d'acqua e correnti d'aria.","Durante la instalación del marco, asegúrese de que el perfil de estanqueidad esté correctamente posicionado para garantizar una barrera hermética contra la infiltración de agua y las corrientes de aire.",ita_Latn,spa_Latn,glossary,ollama/gemma3:27b,json_v1,2026-05-02T08:46:03.566133+00:00,profilo di tenuta,sealing,an installation manual,"```json
{
  ""source_text"": ""Durante l'installazione del telaio, assicurarsi che il profilo di tenuta sia posizionato correttamente per garantire una barriera ermetica contro infiltrazioni d'acqua e correnti d'aria."",
  ""target_text_en"": ""During frame installation, ensure the sealing profile is positioned correctly to guarantee an airtight barrier against water infiltration and drafts."",
  ""target_text_fr"": ""Lors de l'installation du cadre, assurez-vous que le profil d'étanchéité est correctement positionné pour garantir une barrière hermétique contre les infiltrations d'eau et les courants d'air."",
  ""target_text_es"": ""Durante la instalación del marco, asegúrese de que el perfil de estanqueidad esté correctamente posicionado para garantizar una barrera hermética contra la infiltración de agua y las corrientes de aire.""
}
```"
"Per garantire una tenuta stagna ottimale, applicare con cura il nastro adesivo di sigillatura lungo tutto il perimetro del telaio, assicurandosi di rimuovere eventuali residui di silicone preesistente.","To ensure optimal watertight sealing, carefully apply the sealing tape along the entire perimeter of the frame, ensuring any pre-existing silicone residue is removed.",ita_Latn,eng_Latn,glossary,ollama/gemma3:27b,json_v1,2026-05-02T08:46:03.566133+00:00,nastro adesivo di sigillatura,sealing,an installation manual,"```json
{
  ""source_text"": ""Per garantire una tenuta stagna ottimale, applicare con cura il nastro adesivo di sigillatura lungo tutto il perimetro del telaio, assicurandosi di rimuovere eventuali residui di silicone preesistente."",
  ""target_text_en"": ""To ensure optimal watertight sealing, carefully apply the sealing tape along the entire perimeter of the frame, ensuring any pre-existing silicone residue is removed."",
  ""target_text_fr"": ""Afin de garantir une étanchéité optimale, appliquez soigneusement le ruban adhésif d'étanchéité sur tout le périmètre du cadre, en veillant à éliminer tout résidu de silicone préexistant."",
  ""target_text_es"": ""Para garantizar un sellado hermético óptimo, aplique cuidadosamente la cinta adhesiva de sellado a lo largo de todo el perímetro del marco, asegurándose de eliminar cualquier residuo de silicona preexistente.""
}
```"
"Per garantire una tenuta stagna ottimale, applicare con cura il nastro adesivo di sigillatura lungo tutto il perimetro del telaio, assicurandosi di rimuovere eventuali residui di silicone preesistente.","Afin de garantir une étanchéité optimale, appliquez soigneusement le ruban adhésif d'étanchéité sur tout le périmètre du cadre, en veillant à éliminer tout résidu de silicone préexistant.",ita_Latn,fra_Latn,glossary,ollama/gemma3:27b,json_v1,2026-05-02T08:46:03.566133+00:00,nastro adesivo di sigillatura,sealing,an installation manual,"```json
{
  ""source_text"": ""Per garantire una tenuta stagna ottimale, applicare con cura il nastro adesivo di sigillatura lungo tutto il perimetro del telaio, assicurandosi di rimuovere eventuali residui di silicone preesistente."",
  ""target_text_en"": ""To ensure optimal watertight sealing, carefully apply the sealing tape along the entire perimeter of the frame, ensuring any pre-existing silicone residue is removed."",
  ""target_text_fr"": ""Afin de garantir une étanchéité optimale, appliquez soigneusement le ruban adhésif d'étanchéité sur tout le périmètre du cadre, en veillant à éliminer tout résidu de silicone préexistant."",
  ""target_text_es"": ""Para garantizar un sellado hermético óptimo, aplique cuidadosamente la cinta adhesiva de sellado a lo largo de todo el perímetro del marco, asegurándose de eliminar cualquier residuo de silicona preexistente.""
}
```"
"Per garantire una tenuta stagna ottimale, applicare con cura il nastro adesivo di sigillatura lungo tutto il perimetro del telaio, assicurandosi di rimuovere eventuali residui di silicone preesistente.","Para garantizar un sellado hermético óptimo, aplique cuidadosamente la cinta adhesiva de sellado a lo largo de todo el perímetro del marco, asegurándose de eliminar cualquier residuo de silicona preexistente.",ita_Latn,spa_Latn,glossary,ollama/gemma3:27b,json_v1,2026-05-02T08:46:03.566133+00:00,nastro adesivo di sigillatura,sealing,an installation manual,"```json
{
  ""source_text"": ""Per garantire una tenuta stagna ottimale, applicare con cura il nastro adesivo di sigillatura lungo tutto il perimetro del telaio, assicurandosi di rimuovere eventuali residui di silicone preesistente."",
  ""target_text_en"": ""To ensure optimal watertight sealing, carefully apply the sealing tape along the entire perimeter of the frame, ensuring any pre-existing silicone residue is removed."",
  ""target_text_fr"": ""Afin de garantir une étanchéité optimale, appliquez soigneusement le ruban adhésif d'étanchéité sur tout le périmètre du cadre, en veillant à éliminer tout résidu de silicone préexistant."",
  ""target_text_es"": ""Para garantizar un sellado hermético óptimo, aplique cuidadosamente la cinta adhesiva de sellado a lo largo de todo el perímetro del marco, asegurándose de eliminar cualquier residuo de silicona preexistente.""
}
```"
"Prima dell'installazione, assicurarsi di rimuovere completamente il film protettivo dalla superficie del vetro per garantire una corretta adesione del sigillante e prevenire future infiltrazioni.","Prior to installation, ensure the protective film is completely removed from the glass surface to guarantee proper sealant adhesion and prevent future leaks.",ita_Latn,eng_Latn,glossary,ollama/gemma3:27b,json_v1,2026-05-02T08:46:03.566133+00:00,film protettivo,product,an installation manual,"```json
{
  ""source_text"": ""Prima dell'installazione, assicurarsi di rimuovere completamente il film protettivo dalla superficie del vetro per garantire una corretta adesione del sigillante e prevenire future infiltrazioni."",
  ""target_text_en"": ""Prior to installation, ensure the protective film is completely removed from the glass surface to guarantee proper sealant adhesion and prevent future leaks."",
  ""target_text_fr"": ""Avant l'installation, assurez-vous de retirer complètement le film protecteur de la surface du verre afin de garantir une bonne adhérence du mastic et d'éviter de futures infiltrations."",
  ""target_text_es"": ""Antes de la instalación, asegúrese de retirar completamente la película protectora de la superficie del vidrio para garantizar una correcta adhesión del sellador y prevenir futuras filtraciones.""
}
```"
"Prima dell'installazione, assicurarsi di rimuovere completamente il film protettivo dalla superficie del vetro per garantire una corretta adesione del sigillante e prevenire future infiltrazioni.","Avant l'installation, assurez-vous de retirer complètement le film protecteur de la surface du verre afin de garantir une bonne adhérence du mastic et d'éviter de futures infiltrations.",ita_Latn,fra_Latn,glossary,ollama/gemma3:27b,json_v1,2026-05-02T08:46:03.566133+00:00,film protettivo,product,an installation manual,"```json
{
  ""source_text"": ""Prima dell'installazione, assicurarsi di rimuovere completamente il film protettivo dalla superficie del vetro per garantire una corretta adesione del sigillante e prevenire future infiltrazioni."",
  ""target_text_en"": ""Prior to installation, ensure the protective film is completely removed from the glass surface to guarantee proper sealant adhesion and prevent future leaks."",
  ""target_text_fr"": ""Avant l'installation, assurez-vous de retirer complètement le film protecteur de la surface du verre afin de garantir une bonne adhérence du mastic et d'éviter de futures infiltrations."",
  ""target_text_es"": ""Antes de la instalación, asegúrese de retirar completamente la película protectora de la superficie del vidrio para garantizar una correcta adhesión del sellador y prevenir futuras filtraciones.""
}
```"
"Prima dell'installazione, assicurarsi di rimuovere completamente il film protettivo dalla superficie del vetro per garantire una corretta adesione del sigillante e prevenire future infiltrazioni.","Antes de la instalación, asegúrese de retirar completamente la película protectora de la superficie del vidrio para garantizar una correcta adhesión del sellador y prevenir futuras filtraciones.",ita_Latn,spa_Latn,glossary,ollama/gemma3:27b,json_v1,2026-05-02T08:46:03.566133+00:00,film protettivo,product,an installation manual,"```json
{
  ""source_text"": ""Prima dell'installazione, assicurarsi di rimuovere completamente il film protettivo dalla superficie del vetro per garantire una corretta adesione del sigillante e prevenire future infiltrazioni."",
  ""target_text_en"": ""Prior to installation, ensure the protective film is completely removed from the glass surface to guarantee proper sealant adhesion and prevent future leaks."",
  ""target_text_fr"": ""Avant l'installation, assurez-vous de retirer complètement le film protecteur de la surface du verre afin de garantir une bonne adhérence du mastic et d'éviter de futures infiltrations."",
  ""target_text_es"": ""Antes de la instalación, asegúrese de retirar completamente la película protectora de la superficie del vidrio para garantizar una correcta adhesión del sellador y prevenir futuras filtraciones.""
}
```"
"I test di laboratorio hanno confermato che i nostri nuovi infissi, installati secondo le specifiche indicate, garantiscono una resistenza al fuoco di almeno 30 minuti, in conformità con la norma UNI EN 1634-1.","Laboratory tests have confirmed that our new window frames, when installed according to the specified instructions, guarantee a fire resistance of at least 30 minutes, in compliance with the UNI EN 1634-1 standard.",ita_Latn,eng_Latn,glossary,ollama/gemma3:27b,json_v1,2026-05-02T08:46:03.566133+00:00,resistenza al fuoco,performance,an installation manual,"```json
{
  ""source_text"": ""I test di laboratorio hanno confermato che i nostri nuovi infissi, installati secondo le specifiche indicate, garantiscono una resistenza al fuoco di almeno 30 minuti, in conformità con la norma UNI EN 1634-1."",
  ""target_text_en"": ""Laboratory tests have confirmed that our new window frames, when installed according to the specified instructions, guarantee a fire resistance of at least 30 minutes, in compliance with the UNI EN 1634-1 standard."",
  ""target_text_fr"": ""Les essais en laboratoire ont confirmé que nos nouveaux châssis, installés conformément aux spécifications indiquées, garantissent une résistance au feu d'au moins 30 minutes, conformément à la norme UNI EN 1634-1."",
  ""target_text_es"": ""Las pruebas de laboratorio han confirmado que nuestros nuevos marcos de ventana, instalados según las especificaciones indicadas, garantizan una resistencia al fuego de al menos 30 minutos, en cumplimiento con la norma UNI EN 1634-1.""
}
```"
